family_id,registered,disposition,primary_opportunity_or_exclusion
angeloni2023,true,CONSUMED_COMPARISON_DATA,NO_RESCORE
bruno2026,true,REGISTERED,CONDITIONAL_INVENTORY_PRIOR
cameron2020,true,REGISTERED,EXTRACTION_REFERENCE
egidi2024,true,REGISTERED,CONDITIONAL_BOUNDARY_REFERENCE
ellero2019,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
fasano2000_partI,true,REGISTERED,MODEL_VERIFICATION_ONLY
foster2025_2,true,REGISTERED,CONDITIONAL_HYDRAULIC_REFERENCE
g10_liquor_rheology,true,REGISTERED,SCI-MD-RHEOLOGY-001
g1_glassbead_analog,true,REGISTERED,ANALOG_ONLY
g3_pump_characteristic,true,REGISTERED,MACHINE_ENVELOPE
gagne2021,true,REGISTERED,DESCRIPTIVE_RESISTANCE
gloess2013,true,REGISTERED,ENDPOINT_REFERENCE
grudeva2025,true,REGISTERED,CONDITIONAL_HYDRAULIC_REFERENCE
hargarten2020,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
khamitova2020,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
liang2021,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
maille2024,true,REGISTERED,CONDITIONAL_KINETICS_PRIOR
mckeonaloe2022,true,REGISTERED,SCREEN_GEOMETRY_PRIOR
mo2023,true,REGISTERED,CONDITIONAL_HYDRAULIC_REFERENCE
mo2023_2,true,REGISTERED,CONDITIONAL_SWELLING_REFERENCE
moroney2015,true,REGISTERED,CONDITIONAL_EXTRACTION_REFERENCE
moroney2016,true,REGISTERED,CONDITIONAL_FLOW_REFERENCE
moroney2019,true,REGISTERED,CONDITIONAL_PERMEABILITY_REFERENCE
pannusch2024,true,REGISTERED,OBS-PANNUSCH-FRACTION-WINDOW-001
perticarini2024,true,REGISTERED,CONDITIONAL_BOUNDARY_REFERENCE
pocketscience2024,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
ribes2020,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
ribes2021,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
romancorrochano2015,true,REGISTERED,CONDITIONAL_EXTRACTION_REFERENCE
romancorrochano2017,true,REGISTERED,CONDITIONAL_PERMEABILITY_REFERENCE
schmieder2023,true,REGISTERED,CONDITIONAL_CHEMISTRY_REFERENCE
schulman2011,true,REGISTERED,SCREEN_GEOMETRY_PRIOR
smrke2024,true,REGISTERED,CONDITIONAL_COMPONENT_EVIDENCE
sobolik2002,true,REGISTERED,SCI-MD-RHEOLOGY-001
telisromero2001,true,REGISTERED_RHEOLOGY_AUTHORITY,SCI-MD-RHEOLOGY-001
vacaguerra2023a,true,REGISTERED,EWP-POROSITY-PERMEABILITY-PRIOR-001
visualizer,true,PERMISSIONED_LOCAL_SNAPSHOT,EWP-REAL-WORLD-BOUNDARIES-001
wadsworth2026,true,REGISTERED,EWP-POROSITY-PERMEABILITY-PRIOR-001
waszkiewicz2025,true,READY_WITH_NARROWED_SCOPE,XSV-WASZKIEWICZ-DYNAMIC-HYD-001
