axial_cells,case_id,delta_t_s,final_water_mass_kg,final_water_rel_to_finest,first_drip_rel_to_finest,first_drip_s,numerical_status,steady_flow_m3_s,steady_flow_rel_to_finest,target_time_rel_to_finest,target_yield_time_s,transfer_status
128,EWP_BASELINE,0.04,0.0361701768622402,3.721699848151306e-14,1.432638210179647e-14,4.711696185231869,NUMERICALLY_STABLE,1.4826759715944223e-06,0.0,0.00010795927499469969,29.376596543760396,WITHIN_DECLARED_DIAGNOSTIC
256,EWP_BASELINE,0.02,0.03617017686224037,4.182116324211262e-14,9.425251382760835e-15,4.711696185231892,NUMERICALLY_STABLE,1.4826759715944223e-06,0.0,3.590867191688849e-05,29.37448017074514,WITHIN_DECLARED_DIAGNOSTIC
512,EWP_BASELINE,0.01,0.036170176862238855,0.0,0.0,4.711696185231936,NUMERICALLY_STABLE,1.4826759715944223e-06,0.0,0.0,29.373425410049016,WITHIN_DECLARED_DIAGNOSTIC
128,VACA_EWP_K_MEDIAN,0.04,0.18328798873241997,1.968609539002195e-14,1.432638210179647e-14,4.711696185231869,NUMERICALLY_STABLE,7.513280839362608e-06,0.0,2.2739090035359275e-05,9.846310579926472,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
256,VACA_EWP_K_MEDIAN,0.02,0.18328798873242239,6.51155462900726e-15,9.425251382760835e-15,4.711696185231892,NUMERICALLY_STABLE,7.513280839362608e-06,0.0,7.153032038593768e-06,9.846157118248298,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
512,VACA_EWP_K_MEDIAN,0.01,0.18328798873242358,0.0,0.0,4.711696185231936,NUMERICALLY_STABLE,7.513280839362608e-06,0.0,0.0,9.846086688874758,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
128,VACA_PHI_DOSE_MIN,0.04,0.04941990785232071,0.0009415816373259823,4.301178167485154e-15,2.6844550508012484,NUMERICALLY_STABLE,1.878056230686268e-06,0.0,0.0011961762519999166,22.30460435232766,WITHIN_DECLARED_DIAGNOSTIC
256,VACA_PHI_DOSE_MIN,0.02,0.04945107982963764,0.0003114180512556352,4.632038026522473e-15,2.6844550508012475,NUMERICALLY_STABLE,1.878056230686268e-06,0.0,0.00039491263696427357,22.286753836775166,WITHIN_DECLARED_DIAGNOSTIC
512,VACA_PHI_DOSE_MIN,0.01,0.04946648458586984,0.0,0.0,2.68445505080126,NUMERICALLY_STABLE,1.878056230686268e-06,0.0,0.0,22.27795599042881,WITHIN_DECLARED_DIAGNOSTIC
128,WADS_K_MAX,0.04,3903.109480614609,2.6564050154644924e-14,1.432638210179647e-14,4.711696185231869,NUMERICALLY_STABLE,0.15999497772572577,0.0,2.7234173535837287e-08,4.7202590315468145,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
256,WADS_K_MAX,0.02,3903.109480614717,5.429319022835322e-14,9.425251382760835e-15,4.711696185231892,NUMERICALLY_STABLE,0.15999497772572577,0.0,1.8135830582329606e-08,4.72025898860028,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
512,WADS_K_MAX,0.01,3903.109480614505,0.0,0.0,4.711696185231936,NUMERICALLY_STABLE,0.15999497772572577,0.0,0.0,4.720258902994464,OUTSIDE_DEFENSIBLE_TRANSFER_INTERPRETATION
