kind,code,count
reason,AMBIGUOUS_NATIVE_FLOW_ONLY,1154
reason,ARRAY_LENGTH_MISMATCH,7618
reason,ARRAY_LENGTH_MISMATCH_ACHIEVED_PRESSURE,7604
reason,ARRAY_LENGTH_MISMATCH_COMMANDED_PRESSURE,7606
reason,ARRAY_LENGTH_MISMATCH_SCALE_FLOW,6823
reason,ARRAY_LENGTH_MISMATCH_SCALE_MASS,7613
reason,ARRAY_LENGTH_MISMATCH_WATER_DISPENSED,7615
reason,CONFLICTING_REPEATED_TIMESTAMP,4
reason,IMPOSSIBLE_NEGATIVE_CUMULATIVE_MASS,1902
reason,MATERIALLY_DECREASING_CUMULATIVE_MASS,7691
reason,MISSING_TIME,1004
reason,NONMONOTONE_TIME,99
reason,NO_ACHIEVED_PRESSURE_CHANNEL,1004
reason,NO_COMMANDED_PRESSURE_CHANNEL,1049
reason,NO_CONFIRMED_CUMULATIVE_SCALE_MASS_CHANNEL,1085
reason,NO_CONFIRMED_SCALE_FLOW_CHANNEL,2158
reason,UNKNOWN_PRESSURE_SENSOR_DEVICE_FAMILY,23169
reason,UNRESOLVED_INTEGRATION_SOURCE,23169
eligibility_tier,boundary_summary_eligible,14462
eligibility_tier,commanded_pressure_profile_eligible,14348
eligibility_tier,achieved_pressure_profile_eligible,14462
eligibility_tier,pressure_tracking_eligible,14348
eligibility_tier,scale_mass_profile_eligible,6727
eligibility_tier,scale_flow_profile_eligible,14090
eligibility_tier,pressure_flow_context_eligible,14090
eligibility_tier,ewp_pressure_boundary_executable,0
eligibility_tier,library_only_eligible,14462
reconciliation,eligible_for_one_or_more_tiers,14462
reconciliation,excluded_from_every_task_tier,8707
reconciliation,canonical_logical_total,23169
