metric,scope,O0,O1,delta,paired_ci_low,paired_ci_high,relative_improvement,materiality,status
primary_positions_2_5_6_condition_balanced_rmse,PRIMARY,0.013109926605438514,0.013109926605438514,0.0,0.0,0.0,0.0,False,EXACT_IDENTITY_NULL
all_six_condition_balanced_rmse,PRIMARY,0.011372155559566843,0.011372155559566843,0.0,0.0,0.0,0.0,False,EXACT_IDENTITY_NULL
mean_signed_residual,profile_position_1,0.001381253256588874,0.001381253256588874,0.0,-0.007453451812548207,0.009472571458217347,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
mean_signed_residual,profile_position_2,0.016692806742338927,0.016692806742338927,0.0,0.01020244357432992,0.02478783409683457,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
mean_signed_residual,profile_position_3,0.005224841499824371,0.005224841499824371,0.0,0.002343336071280557,0.00855892069598977,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
mean_signed_residual,profile_position_4,-0.0038237364683147332,-0.0038237364683147332,0.0,-0.006490087012008052,-0.0010712924483157829,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
mean_signed_residual,profile_position_5,-0.009460341863812718,-0.009460341863812718,0.0,-0.010928266422367099,-0.008001390103881217,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
mean_signed_residual,profile_position_6,-0.010014823166624796,-0.010014823166624796,0.0,-0.012412452637578042,-0.00834579684273029,0.0,False,BASELINE_DIAGNOSTIC_IDENTITY
systematic_residual_vector_norm,positions_2_5_6,0.02164357983735704,0.02164357983735704,0.0,,,0.0,False,EXACT_IDENTITY_NULL
early_share_error,profile_position_1,0.001381253256588874,0.001381253256588874,0.0,,,0.0,False,EXACT_IDENTITY_NULL
tail_share_error,profile_position_6,-0.010014823166624796,-0.010014823166624796,0.0,,,0.0,False,EXACT_IDENTITY_NULL
cumulative_share_rmse,PRIMARY,0.016097558150015227,0.016097558150015227,0.0,,,0.0,False,EXACT_IDENTITY_NULL
centroid_error,PRIMARY,-0.07224420295133145,-0.07224420295133145,0.0,,,0.0,False,EXACT_IDENTITY_NULL
reconstructed_minus_source_window_max_abs_s,FULL_24,0.0,0.0,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,PRED-C01,0.01741582229431219,0.01741582229431219,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,PRED-C02,0.011205560326018355,0.011205560326018355,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,PRED-C05,0.013186604273699087,0.013186604273699087,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,PRED-C06,0.010631719527724426,0.010631719527724426,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,caffeine,0.01024818029379161,0.01024818029379161,0.0,,,0.0,False,EXACT_IDENTITY_NULL
primary_rmse,trigonelline,0.015971672917085417,0.015971672917085417,0.0,,,0.0,False,EXACT_IDENTITY_NULL
leave_one_condition_out_primary_delta,omit_PRED-C01,0.0,0.0,0.0,0.0,0.0,0.0,False,IDENTICAL_DIRECTION
leave_one_condition_out_primary_delta,omit_PRED-C02,0.0,0.0,0.0,0.0,0.0,0.0,False,IDENTICAL_DIRECTION
leave_one_condition_out_primary_delta,omit_PRED-C05,0.0,0.0,0.0,0.0,0.0,0.0,False,IDENTICAL_DIRECTION
leave_one_condition_out_primary_delta,omit_PRED-C06,0.0,0.0,0.0,0.0,0.0,0.0,False,IDENTICAL_DIRECTION
exact_four_condition_sign_enumeration,4_conditions,0.0,0.0,0.0,0.0,0.0,0.0,False,ALL_ZERO_IDENTITY
