condition_id,shot_id,analyte,profile_position,source_fraction_id,observer,window_start_s,window_end_s,observed_share,O0_predicted_share,O1_predicted_share,O0_residual,O1_residual,prediction_identity,source_id,rights,target_exposure
PRED-C01,PRED-E01-R1,caffeine,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,2.48385193463,0.30911325549535157,0.30012039342770436,0.30012039342770436,-0.0089928620676472115,-0.0089928620676472115,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,caffeine,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,2.48385193463,5.44005796946,0.26066996029979184,0.28378775475951956,0.28378775475951956,0.023117794459727725,0.023117794459727725,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,caffeine,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,5.44005796946,8.38900386894,0.18876049859689475,0.1992519871440635,0.1992519871440635,0.010491488547168748,0.010491488547168748,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,caffeine,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,11.1891966584,14.0293676598,0.11193590229896191,0.11134781259785105,0.11134781259785105,-0.00058808970111086378,-0.00058808970111086378,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,caffeine,5,7,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,16.9705365629,19.5285469031,0.071270480593275051,0.06265135761139691,0.06265135761139691,-0.0086191229818781412,-0.0086191229818781412,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,caffeine,6,10,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,25.5147130975,28.7369628292,0.058249902715725055,0.042840694459464645,0.042840694459464645,-0.015409208256260409,-0.015409208256260409,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,trigonelline,1,1,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,0,2.48385193463,0.37912100121732673,0.35266032722630936,0.35266032722630936,-0.026460673991017369,-0.026460673991017369,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,trigonelline,2,2,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,2.48385193463,5.44005796946,0.26813210036768687,0.30473975045192786,0.30473975045192786,0.036607650084240995,0.036607650084240995,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,trigonelline,3,3,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,5.44005796946,8.38900386894,0.16576063024911483,0.18878836959017264,0.18878836959017264,0.023027739341057812,0.023027739341057812,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,trigonelline,4,5,O0_CURRENT_SOURCE_WINDOWS;O1_QUALIFIED_MASS_WINDOW_OBSERVER,11.1891966584,14.0293676598,0.092008998082358573,0.090066451275039747,0.090066451275039747,-0.0019425468073188262,-0.0019425468073188262,EXACT_SAME_INPUT_WINDOW,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
