condition_id,shot_id,physical_replicate_id,mass_fit_source_index,join_class,evidence_fields,candidate_count,uniqueness_result,qualification_result,failure_reason,source_hashes,source_id,rights,target_exposure
PRED-C01,PRED-E01-R1,1,1,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R2,2,2,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R3,3,3,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R1,1,4,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R2,2,5,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C02,PRED-E02-R3,3,6,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C03,PRED-E03-R1,1,7,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C03,PRED-E03-R2,2,8,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C03,PRED-E03-R3,3,9,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C04,PRED-E04-R1,1,10,EXPLICIT_SOURCE_CODE_MAPPING,"released loop i*3-3+j; copied a,b,flow,time",1,UNIQUE_BY_EXPLICIT_INDEX,PASS,,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64;430f922d0df443d9f1b1d629409d9ef4a4967d15535ffa8b5a34f795523faaf3,P24-MAT-PRED;P24-MASS-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
