condition_id,shot_id,source_fraction_id,profile_position,source_tE_start_s,source_tE_end_s,reconstructed_start_s,reconstructed_end_s,clock_class,source_lineage_class,inversion_root_status,fit_support_status,mass_consistency_status,vial_transition_status,qualification_result,failure_reason,source_id,rights,target_exposure
PRED-C01,PRED-E01-R1,1,1,0,2.48385193463,0,2.48385193463,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,2,2,2.48385193463,5.44005796946,2.48385193463,5.44005796946,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,3,3,5.44005796946,8.38900386894,5.44005796946,8.38900386894,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,4,,8.38900386894,11.1891966584,8.38900386894,11.1891966584,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,5,4,11.1891966584,14.0293676598,11.1891966584,14.0293676598,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,6,,14.0293676598,16.9705365629,14.0293676598,16.9705365629,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,7,5,16.9705365629,19.5285469031,16.9705365629,19.5285469031,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,8,,19.5285469031,22.6235047064,19.5285469031,22.6235047064,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,9,,22.6235047064,25.5147130975,22.6235047064,25.5147130975,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
PRED-C01,PRED-E01-R1,10,6,25.5147130975,28.7369628292,25.5147130975,28.7369628292,DERIVED_SAME_MASS_FIT_ZERO,DERIVED_FROM_SAME_MASS_FIT,UNIQUE_POSITIVE_IN_SUPPORT,PASS,EXACT_WITHIN_1E-12_S,CUMULATIVE_MEASURED_VIAL_MASS_BOUNDARY,PASS,,P24-MAT-PRED;P24-MASS-PRED;P24-M-PREP-PRED,CC-BY-NC-3.0; source-derived numeric data are not relicensed as repository code,TARGET_EXPOSED;SOURCE_INTERNAL
