family_id,source_registration,manifest_dataset_ids,model_chain_stages,strongest_current_uses,raw_access_status,rights_access_summary,last_qualified_task,potentially_matching_canonical_quantity_ids,match_basis,screening_disposition,terminal_reason,detailed_support_record_count
angeloni2023,AVAILABLE_DATA_REGISTER:ANGELONI2023,"[""angeloni2023/inventories"", ""angeloni2023/bioactives"", ""angeloni2023/total_solids"", ""angeloni2023/lipids"", ""angeloni2023/total_solids_lipids_rsd""]","[""chemistry"", ""extraction""]","[""extraction inventory priors; INDEPENDENT multi-species target for pannusch2024""]",PACKAGED_IN_REPOSITORY,"[""Angeloni et al. Appl. Sci. 2023, 13, 2688 (MDPI, open access; Cloudflare-blocked for fetch)"", ""Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI, open access; Cloudflare-blocked for fetch); transcribed from article tables, no repository"", ""Angeloni et al. Appl. Sci. 13 (2023) 2688 (MDPI open access); author-deposited PDF hashed""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
bruno2026,AVAILABLE_DATA_REGISTER:BRUNO2026,"[""bruno2026/roasted_composition""]","[""source_material"", ""chemistry""]","[""G6 / ledger-A4 SoluteInventory prior (offline provider); NOT a registered component""]",PACKAGED_IN_REPOSITORY,"[""CC BY 4.0 (Scientific Reports, open access)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
cameron2020,AVAILABLE_DATA_REGISTER:CAMERON2020,"[""cameron2020/fig5_grind_deviation"", ""cameron2020/psd_figure2""]","[""extraction"", ""chemistry""]","[""gate_streamtube_heldout; streamtube sigma(GS) fines-closure leave-one-out""]",PACKAGED_IN_REPOSITORY,"[""paper (DOI 10.1016/j.matt.2020.06.019)"", ""Cameron et al., Matter 2 (2020) 631-648; Fig 2 PSD digitized 2026-07-25""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
egidi2024,AVAILABLE_DATA_REGISTER:EGIDI2024,"[""egidi2024/table2""]","[""extraction"", ""chemistry""]","[""RC-1 EY/TDS range bracket (2.1)""]",PACKAGED_IN_REPOSITORY,"[""paper (DOI 10.1016/j.chaos.2024.115625)""]",PANNUSCH-PRIOR-IMPACT-001,[],"explicit review of registered stages, strongest-current-use, dataset identity, and register limitations found no definition-preserving mapping to a frozen canonical EWP quantity",EXCLUDED_NO_MATCHING_CANONICAL_QUANTITY,REVIEWED_NO_CANONICAL_MAPPING_AFTER_EXACT_REGISTER_AND_SOURCE_CARD_SCREEN,0
ellero2019,AVAILABLE_DATA_REGISTER:ELLERO2019,"[""ellero2019/fig2_inverse_discharge"", ""ellero2019/fig3_direct_discharge"", ""ellero2019/fig4_caffeine_content""]","[""extraction"", ""transport""]","[""G2 fines-migration mechanism SHAPE/timescale (qualitative pointer)""]",PACKAGED_IN_REPOSITORY,"[""no DOI (conference proceedings); figures digitized, no PDF redistributed"", ""no DOI (conference proceedings); figures digitized""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]","registered fines-migration mechanism, shape, and timescale simulation evidence",MATCHED_STRESS_OR_SHAPE_ONLY,QUALITATIVE_NONCOFFEE_SIMULATION_DOES_NOT_AUTHORIZE_EVOLVING_EWP_RESISTANCE,0
fasano2000_partI,AVAILABLE_DATA_REGISTER:FASANO2000_PARTI,"[""fasano2000_partI/fig8_1_experimental"", ""fasano2000_partI/fig8_4_reversal"", ""fasano2000_partI/fig8_6_model_q_inf"", ""fasano2000_partI/fig8_7_thresholds""]","[""extraction"", ""transport""]","[""3.3 experimental target (only nonmonotone-q_inf evidence)""]",PACKAGED_IN_REPOSITORY,"[""Fasano/Talamucci/Petracco, Complex Flows in Industrial Processes ch.8, Springer 2000 (no DOI; no code/data); digitized figures""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]",registered transient pressure peak-and-decay evidence,MATCHED_STRESS_OR_SHAPE_ONLY,TRANSIENT_SHAPE_EVIDENCE_IS_LOW_FIDELITY_AND_NOT_AN_EWP_BOUNDARY,0
foster2025_2,AVAILABLE_DATA_REGISTER:FOSTER2025_2,"[""foster2025_2/params"", ""foster2025_2/fig15_flow"", ""foster2025_2/fig12_14_curves""]","[""wetting"", ""hydraulics""]","[""item 1.6: machine-mode t_p/t_s reproduction""]",PACKAGED_IN_REPOSITORY,"[""paper (DOI 10.1063/5.0245167)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY"", ""EWP_FIXED_HYDRAULIC_RESISTANCE_FORM""]",registered wetting/hydraulics and machine-mode t_p/t_s reproduction,MATCHED_STRESS_OR_SHAPE_ONLY,SOURCE_INTERNAL_MACHINE_MODE_REPRODUCTION_HAS_NO_QUALIFIED_EWP_BOUNDARY_TRANSFER,0
g10_liquor_rheology,AVAILABLE_DATA_REGISTER:G10_LIQUOR_RHEOLOGY,"[""g10_liquor_rheology/telis_romero_envelope"", ""g10_liquor_rheology/telisromero2001_closures"", ""g10_liquor_rheology/telisromero2001_tables"", ""g10_liquor_rheology/telisromero2000_thermal"", ""g10_liquor_rheology/khomyakov_kinematic_viscosity""]","[""rheology"", ""thermal""]","[""G10 flow-closure mu(T,c)/rho(T,c); RC-2/RC-3 early-shot-bias check""]",PACKAGED_IN_REPOSITORY,"[""paywalled (Wiley/Tandfonline, bot-blocked here); ranges/forms from snippets + open 2013 xref"", ""paywalled (Wiley, bot-blocked here); coefficients + anchors transcribed from docs/cards/telisromero2001.md, primary Tables 1-2 NOT redistributed"", ""paywalled (Wiley); tables digitized by author-side drop, not redistributed beyond this repo"", ""paywalled (Tandfonline, bot-blocked here); coefficients + anchors from docs/cards/telisromero2000.md, Figs 2-5 NOT digitized/redistributed"", ""CC BY 3.0 (IOP; open access)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered liquid-property context potentially entering hydraulic interpretation,MATCHED_CONTEXT_OR_OPERATOR_ONLY,RHEOLOGY_CONTEXT_IS_NOT_PERMEABILITY_SUPPORT,0
g1_glassbead_analog,AVAILABLE_DATA_REGISTER:G1_GLASSBEAD_ANALOG,"[""g1_glassbead_analog/retention_kr""]","[""bed_structure"", ""hydraulics""]","[""G1 Richards closure shape prior (egidi2018 solver); P3 hyp#2 machinery only""]",PACKAGED_IN_REPOSITORY,"[""open arXiv:2501.13361 (no journal DOI); underlying bead data per cited 1966-2017 refs""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_EFFECTIVE_SATURATED_PERMEABILITY""]",registered porous-media hydraulic analog,MATCHED_STRESS_OR_SHAPE_ONLY,NONCOFFEE_ANALOG_NO_TRANSFER,1
g3_pump_characteristic,AVAILABLE_DATA_REGISTER:G3_PUMP_CHARACTERISTIC,"[""g3_pump_characteristic/ulka_envelope""]","[""machine_boundary"", ""hydraulics""]","[""RC-3 machine-mode envelope bound; flow boundary-condition context""]",PACKAGED_IN_REPOSITORY,"[""public (manufacturer datasheet; Decent blog; espressoaf community)""]",PANNUSCH-PRIOR-IMPACT-001,"[""EWP_INLET_PRESSURE_BOUNDARY""]",registered pump characteristic boundary evidence,MATCHED_BUT_UNQUALIFIED_SUCCESSOR_ONLY,MANUFACTURER_ENDPOINTS_NO_QUALIFIED_INTERIOR_EWP_TRANSFER,1
