lane_id,sublane_id,source_family,input_artifact_id,source_row_id,source_hash,physical_unit_id,condition_id,coffee_id_or_status,shot_or_brew_id,analyte_or_observable,nested_unit_id,target_field,exogenous_fields,uncertainty_fields,included,exclusion_reason,prior_target_exposure,reused_prediction_artifact,reused_score_artifact
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-150,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T150,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-151,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T151,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-152,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T152,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-153,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T153,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-154,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T154,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-155,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T155,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-156,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T156,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-157,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T157,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-158,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T158,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-159,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T159,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-160,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T160,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-161,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T161,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-162,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T162,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-163,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T163,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-164,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T164,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-165,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T165,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-166,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T166,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-167,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T167,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-168,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T168,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-169,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T169,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-170,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T170,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-171,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T171,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
L-HYD,L-HYD-DARCY,waszkiewicz2025,WASZ_OBSERVATIONS,1-1-172,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,WASZ-BREW-1-1,WASZ-COND-1.0,SOURCE_COFFEE,1-1,mass_flow_rate__g_per_s,WASZ-BREW-1-1-T172,mass_flow_rate__g_per_s,basket_pressure__bar,between-brew variation,true,,TARGET_EXPOSED_RETROSPECTIVE_COMPARISON_DATA,,
