outer_fold,model_id,physical_unit_id,condition_id,line_pressure_bar,observed_flow_g_s,predicted_flow_g_s,error_g_s,squared_error_g_s2,training_scale_g_s
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-1-1,WASZ-COND-1.0,0.9575,0.07669,1.61466705,1.53797705,2.365373406326703,1.6662024999999998
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-1-2,WASZ-COND-1.0,1.4195,0.11728,1.61466705,1.49738705,2.242167977507702,1.6662024999999998
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-1-3,WASZ-COND-1.0,0.962,0.11990,1.61466705,1.49476705,2.234328533765703,1.6662024999999998
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-1-4,WASZ-COND-1.0,0.962,0.11554,1.61466705,1.49912705,2.2473819120417025,1.6662024999999998
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-1-5b,WASZ-COND-1.0,0.926,0.12603,1.61466705,1.48863705,2.216040266632702,1.6662024999999998
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-1-1,WASZ-COND-1.0,0.9575,0.07669,0.17762753612638857,0.10093753612638857,0.010188386199265998,1.6662024999999998
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-1-2,WASZ-COND-1.0,1.4195,0.11728,0.4041354086577664,0.28685540865776643,0.08228602547621418,1.6662024999999998
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-1-3,WASZ-COND-1.0,0.962,0.11990,0.17990363028087025,0.060003630280870246,0.003600435646883369,1.6662024999999998
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-1-4,WASZ-COND-1.0,0.962,0.11554,0.17990363028087025,0.06436363028087025,0.004142676902932557,1.6662024999999998
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-1-5b,WASZ-COND-1.0,0.926,0.12603,0.1616564030384835,0.035626403038483495,0.001269240593460466,1.6662024999999998
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-1-1,WASZ-COND-1.0,0.9575,0.07669,0.14528495725244284,0.06859495725244284,0.004705268160464461,1.6662024999999998
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-1-2,WASZ-COND-1.0,1.4195,0.11728,0.24473162629874423,0.12745162629874424,0.016243917046194753,1.6662024999999998
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-1-3,WASZ-COND-1.0,0.962,0.11990,0.14625394673203118,0.026353946732031175,0.0006945305083547366,1.6662024999999998
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-1-4,WASZ-COND-1.0,0.962,0.11554,0.14625394673203118,0.030713946732031178,0.0009433465238580487,1.6662024999999998
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-1-5b,WASZ-COND-1.0,0.926,0.12603,0.13850183720933273,0.012471837209332731,0.00015554672337609644,1.6662024999999998
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-2-2,WASZ-COND-2.0,2.00975,0.46689,1.5882946,1.1214046,1.25754827690116,1.9299269999999997
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-2-3,WASZ-COND-2.0,1.57175,0.33769,1.5882946,1.2506046,1.56401186554116,1.9299269999999997
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-2-4,WASZ-COND-2.0,2.00075,0.36591,1.5882946,1.2223846,1.49422411031716,1.9299269999999997
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-2-5,WASZ-COND-2.0,1.58225,0.32876,1.5882946,1.2595346,1.5864274085971601,1.9299269999999997
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-2-2,WASZ-COND-2.0,2.00975,0.46689,0.701484370595251,0.234594370595251,0.055034518714981974,1.9299269999999997
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-2-3,WASZ-COND-2.0,1.57175,0.33769,0.5077225925844975,0.1700325925844975,0.02891108254100571,1.9299269999999997
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-2-4,WASZ-COND-2.0,2.00075,0.36591,0.6976325399302039,0.3317225399302039,0.11003984349774572,1.9299269999999997
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-2-5,WASZ-COND-2.0,1.58225,0.32876,0.512518209830397,0.18375820983039698,0.033767079680072205,1.9299269999999997
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-2-2,WASZ-COND-2.0,2.00975,0.46689,0.37126378490938805,-0.09562621509061198,0.009144373012555987,1.9299269999999997
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-2-3,WASZ-COND-2.0,1.57175,0.33769,0.27717825258150697,-0.06051174741849302,0.003661671575639497,1.9299269999999997
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-2-4,WASZ-COND-2.0,2.00075,0.36591,0.36933117793523706,0.003421177935237052,1.1704458464552858e-05,1.9299269999999997
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,WASZ-BREW-2-5,WASZ-COND-2.0,1.58225,0.32876,0.279434492404107,-0.04932550759589299,0.0024330056995924975,1.9299269999999997
HYD-LOCO-3.5,HYD_B0_TRAINING_MEAN,WASZ-BREW-3-5-3,WASZ-COND-3.5,3.491,1.23397,1.5204851833333333,0.28651518333333326,0.08209095028053356,1.9299269999999997
HYD-LOCO-3.5,HYD_B0_TRAINING_MEAN,WASZ-BREW-3-5-4,WASZ-COND-3.5,3.437,0.99928,1.5204851833333333,0.5212051833333333,0.2716548431335336,1.9299269999999997
HYD-LOCO-3.5,HYD_B0_TRAINING_MEAN,WASZ-BREW-3-5-5,WASZ-COND-3.5,3.40925,0.92547,1.5204851833333333,0.5950151833333333,0.3540430683972002,1.9299269999999997
HYD-LOCO-3.5,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-3-5-3,WASZ-COND-3.5,3.491,1.23397,1.2503077872235975,0.016337787223597466,0.0002669232913635446,1.9299269999999997
HYD-LOCO-3.5,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-3-5-4,WASZ-COND-3.5,3.437,0.99928,1.23168775581343,0.2324077558134301,0.05401336496223495,1.9299269999999997
HYD-LOCO-3.5,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-3-5-5,WASZ-COND-3.5,3.40925,0.92547,1.22203915381164,0.29656915381163995,0.08795326299255216,1.9299269999999997
HYD-LOCO-3.5,HYD_E1_LUMPED_DARCY,WASZ-BREW-3-5-3,WASZ-COND-3.5,3.491,1.23397,0.6819204584462568,-0.5520495415537432,0.30475869632969804,1.9299269999999997
HYD-LOCO-3.5,HYD_E1_LUMPED_DARCY,WASZ-BREW-3-5-4,WASZ-COND-3.5,3.437,0.99928,0.6704692226776388,-0.3288107773223612,0.1081165272833354,1.9299269999999997
HYD-LOCO-3.5,HYD_E1_LUMPED_DARCY,WASZ-BREW-3-5-5,WASZ-COND-3.5,3.40925,0.92547,0.6645841879071668,-0.26088581209283324,0.0680614069513371,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-1,WASZ-COND-4.0,4.07825,2.02873,1.45833045,-0.5703995499999999,0.32535564664020233,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-1b,WASZ-COND-4.0,4.04375,1.50509,1.45833045,-0.04675954999999998,0.0021864555162024986,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-2,WASZ-COND-4.0,4.1975,1.56031,1.45833045,-0.10197955000000003,0.010399828618202506,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-2b,WASZ-COND-4.0,4.016,1.37026,1.45833045,0.08807045000000002,0.007756404163202504,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-3,WASZ-COND-4.0,4.0835,1.64449,1.45833045,-0.18615954999999995,0.03465537805620248,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-3b,WASZ-COND-4.0,4.0055,1.52562,1.45833045,-0.06728954999999992,0.004527883539202489,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-4,WASZ-COND-4.0,4.115,1.89730,1.45833045,-0.43896954999999993,0.19269426582720245,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-4b,WASZ-COND-4.0,4.06925,1.73456,1.45833045,-0.27622955000000005,0.07630276429320253,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-5,WASZ-COND-4.0,4.1075,1.86664,1.45833045,-0.40830955,0.1667166886212025,1.9299269999999997
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,WASZ-BREW-4-5b,WASZ-COND-4.0,4.0535,1.61154,1.45833045,-0.15320954999999992,0.023473166211202476,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-1,WASZ-COND-4.0,4.07825,2.02873,1.3694540965140125,-0.6592759034859874,0.434644716917265,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-1b,WASZ-COND-4.0,4.04375,1.50509,1.3589266626541967,-0.14616333734580333,0.021363721184063107,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-2,WASZ-COND-4.0,4.1975,1.56031,1.4052175936598803,-0.15509240634011978,0.024053654504368825,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-2b,WASZ-COND-4.0,4.016,1.37026,1.350400076747707,-0.019859923252293132,0.00039441655158697344,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-3,WASZ-COND-4.0,4.0835,1.64449,1.3710489856961083,-0.27344101430389167,0.07476998830354109,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-3b,WASZ-COND-4.0,4.0055,1.52562,1.3471601144802272,-0.17845988551977277,0.0318479307397304,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-4,WASZ-COND-4.0,4.115,1.89730,1.380578871410166,-0.5167211285898339,0.26700072473115166,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-4b,WASZ-COND-4.0,4.06925,1.73456,1.3667156302881924,-0.3678443697118077,0.13530948032867704,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-5,WASZ-COND-4.0,4.1075,1.86664,1.3783159850162097,-0.4883240149837904,0.23846034360988916,1.9299269999999997
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,WASZ-BREW-4-5b,WASZ-COND-4.0,4.0535,1.61154,1.3619100304186071,-0.24962996958139283,0.06231512171320711,1.9299269999999997
