lane_id,outer_fold,group_id,physical_unit_id,role,nested_unit_type,source_row_id
L-HYD,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-1,EVALUATION,one equilibrium observation per canonical brew,1-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-2,EVALUATION,one equilibrium observation per canonical brew,1-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-3,EVALUATION,one equilibrium observation per canonical brew,1-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-4,EVALUATION,one equilibrium observation per canonical brew,1-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-1.0,WASZ-BREW-1-5b,EVALUATION,one equilibrium observation per canonical brew,1-5b
L-HYD,HYD-LOCO-1.0,WASZ-COND-11.0,WASZ-BREW-10-2,TRAIN,one equilibrium observation per canonical brew,10-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-11.0,WASZ-BREW-10-3,TRAIN,one equilibrium observation per canonical brew,10-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-11.0,WASZ-BREW-10-4,TRAIN,one equilibrium observation per canonical brew,10-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-11.0,WASZ-BREW-10-5,TRAIN,one equilibrium observation per canonical brew,10-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-2,TRAIN,one equilibrium observation per canonical brew,12-8-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-3,TRAIN,one equilibrium observation per canonical brew,12-8-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-4,TRAIN,one equilibrium observation per canonical brew,12-8-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-5,TRAIN,one equilibrium observation per canonical brew,12-8-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-6,TRAIN,one equilibrium observation per canonical brew,12-8-6
L-HYD,HYD-LOCO-1.0,WASZ-COND-13.0,WASZ-BREW-12-8-7,TRAIN,one equilibrium observation per canonical brew,12-8-7
L-HYD,HYD-LOCO-1.0,WASZ-COND-2.0,WASZ-BREW-2-2,TRAIN,one equilibrium observation per canonical brew,2-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-2.0,WASZ-BREW-2-3,TRAIN,one equilibrium observation per canonical brew,2-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-2.0,WASZ-BREW-2-4,TRAIN,one equilibrium observation per canonical brew,2-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-2.0,WASZ-BREW-2-5,TRAIN,one equilibrium observation per canonical brew,2-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-3.5,WASZ-BREW-3-5-3,TRAIN,one equilibrium observation per canonical brew,3-5-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-3.5,WASZ-BREW-3-5-4,TRAIN,one equilibrium observation per canonical brew,3-5-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-3.5,WASZ-BREW-3-5-5,TRAIN,one equilibrium observation per canonical brew,3-5-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-1,TRAIN,one equilibrium observation per canonical brew,4-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-1b,TRAIN,one equilibrium observation per canonical brew,4-1b
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-2,TRAIN,one equilibrium observation per canonical brew,4-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-2b,TRAIN,one equilibrium observation per canonical brew,4-2b
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-3,TRAIN,one equilibrium observation per canonical brew,4-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-3b,TRAIN,one equilibrium observation per canonical brew,4-3b
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-4,TRAIN,one equilibrium observation per canonical brew,4-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-4b,TRAIN,one equilibrium observation per canonical brew,4-4b
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-5,TRAIN,one equilibrium observation per canonical brew,4-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-4.0,WASZ-BREW-4-5b,TRAIN,one equilibrium observation per canonical brew,4-5b
L-HYD,HYD-LOCO-1.0,WASZ-COND-5.0,WASZ-BREW-5-1,TRAIN,one equilibrium observation per canonical brew,5-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-5.0,WASZ-BREW-5-2,TRAIN,one equilibrium observation per canonical brew,5-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-5.0,WASZ-BREW-5-3,TRAIN,one equilibrium observation per canonical brew,5-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-5.0,WASZ-BREW-5-4,TRAIN,one equilibrium observation per canonical brew,5-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-5.0,WASZ-BREW-5-5,TRAIN,one equilibrium observation per canonical brew,5-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-1,TRAIN,one equilibrium observation per canonical brew,6-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-2,TRAIN,one equilibrium observation per canonical brew,6-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-3,TRAIN,one equilibrium observation per canonical brew,6-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-4,TRAIN,one equilibrium observation per canonical brew,6-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-5,TRAIN,one equilibrium observation per canonical brew,6-5
L-HYD,HYD-LOCO-1.0,WASZ-COND-6.0,WASZ-BREW-6-6,TRAIN,one equilibrium observation per canonical brew,6-6
L-HYD,HYD-LOCO-1.0,WASZ-COND-7.0,WASZ-BREW-7-1,TRAIN,one equilibrium observation per canonical brew,7-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-7.0,WASZ-BREW-7-2,TRAIN,one equilibrium observation per canonical brew,7-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-7.0,WASZ-BREW-7-3,TRAIN,one equilibrium observation per canonical brew,7-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-7.0,WASZ-BREW-7-4,TRAIN,one equilibrium observation per canonical brew,7-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-8.0,WASZ-BREW-8-1,TRAIN,one equilibrium observation per canonical brew,8-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-8.0,WASZ-BREW-8-1b,TRAIN,one equilibrium observation per canonical brew,8-1b
L-HYD,HYD-LOCO-1.0,WASZ-COND-8.0,WASZ-BREW-8-2,TRAIN,one equilibrium observation per canonical brew,8-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-8.0,WASZ-BREW-8-3,TRAIN,one equilibrium observation per canonical brew,8-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-9.0,WASZ-BREW-9-1,TRAIN,one equilibrium observation per canonical brew,9-1
L-HYD,HYD-LOCO-1.0,WASZ-COND-9.0,WASZ-BREW-9-2,TRAIN,one equilibrium observation per canonical brew,9-2
L-HYD,HYD-LOCO-1.0,WASZ-COND-9.0,WASZ-BREW-9-3,TRAIN,one equilibrium observation per canonical brew,9-3
L-HYD,HYD-LOCO-1.0,WASZ-COND-9.0,WASZ-BREW-9-4,TRAIN,one equilibrium observation per canonical brew,9-4
L-HYD,HYD-LOCO-1.0,WASZ-COND-9.0,WASZ-BREW-9-5,TRAIN,one equilibrium observation per canonical brew,9-5
L-HYD,HYD-LOCO-2.0,WASZ-COND-1.0,WASZ-BREW-1-1,TRAIN,one equilibrium observation per canonical brew,1-1
L-HYD,HYD-LOCO-2.0,WASZ-COND-1.0,WASZ-BREW-1-2,TRAIN,one equilibrium observation per canonical brew,1-2
L-HYD,HYD-LOCO-2.0,WASZ-COND-1.0,WASZ-BREW-1-3,TRAIN,one equilibrium observation per canonical brew,1-3
L-HYD,HYD-LOCO-2.0,WASZ-COND-1.0,WASZ-BREW-1-4,TRAIN,one equilibrium observation per canonical brew,1-4
L-HYD,HYD-LOCO-2.0,WASZ-COND-1.0,WASZ-BREW-1-5b,TRAIN,one equilibrium observation per canonical brew,1-5b
