outer_fold,model_id,parameters
HYD-LOCO-1.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.61466705}"
HYD-LOCO-1.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.33792602918431824, ""linear"": 0.5709229122302196, ""quadratic"": -0.03392769535518382}"
HYD-LOCO-1.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21728288061673395}"
HYD-LOCO-2.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.5882946}"
HYD-LOCO-2.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.2935964175334205, ""linear"": 0.5625741596043153, ""quadratic"": -0.03356014826058609}"
HYD-LOCO-2.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21703805675344873}"
HYD-LOCO-3.5,HYD_B0_TRAINING_MEAN,"{""mean"": 1.5204851833333333}"
HYD-LOCO-3.5,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.37643414446510826, ""linear"": 0.5890515872215958, ""quadratic"": -0.03525349173455769}"
HYD-LOCO-3.5,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21479048279903817}"
HYD-LOCO-4.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.45833045}"
HYD-LOCO-4.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.436987745576187, ""linear"": 0.5819233601455033, ""quadratic"": -0.03407785640434076}"
HYD-LOCO-4.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21054047427227096}"
HYD-LOCO-5.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.42242325}"
HYD-LOCO-5.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.39899384704421736, ""linear"": 0.5613581664929447, ""quadratic"": -0.03258346522957815}"
HYD-LOCO-5.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.20726176030430005}"
HYD-LOCO-6.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.42167435}"
HYD-LOCO-6.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.3845269151780568, ""linear"": 0.571121958693528, ""quadratic"": -0.03361049757993344}"
HYD-LOCO-6.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.20739240083104954}"
HYD-LOCO-7.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.43215285}"
HYD-LOCO-7.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.42986086742330776, ""linear"": 0.6009814521908566, ""quadratic"": -0.03580916884900369}"
HYD-LOCO-7.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21031508818729006}"
HYD-LOCO-8.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.44394985}"
HYD-LOCO-8.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.47094252272165815, ""linear"": 0.6206637091543026, ""quadratic"": -0.037046179580564914}"
HYD-LOCO-8.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21418051009579586}"
HYD-LOCO-9.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.44161505}"
HYD-LOCO-9.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.45562455200648344, ""linear"": 0.6099733170275946, ""quadratic"": -0.03612148997452155}"
HYD-LOCO-9.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.21821303871169073}"
HYD-LOCO-11.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.44882785}"
HYD-LOCO-11.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.41647878875122557, ""linear"": 0.5906408690327419, ""quadratic"": -0.03475569508334876}"
HYD-LOCO-11.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.22974734698720273}"
HYD-LOCO-13.0,HYD_B0_TRAINING_MEAN,"{""mean"": 1.4653380166666667}"
HYD-LOCO-13.0,HYD_B1_PRESSURE_QUADRATIC,"{""intercept"": -0.5896564135432538, ""linear"": 0.6915044063431829, ""quadratic"": -0.04513296425686942}"
HYD-LOCO-13.0,HYD_E1_LUMPED_DARCY,"{""bound_status"": ""INTERIOR"", ""conductance_g_s_bar"": 0.25349768592319233}"
