lane_id,model_id,variable,source,directly_measured,target_derived,allowed,use,claim_effect
L-HYD,HYD_B0_TRAINING_MEAN,pressure__bar,WASZ_LINE_PRESSURE,true,false,true,exogenous measured line pressure,conditional measured context
L-HYD,HYD_B0_TRAINING_MEAN,basket_pressure__bar,WASZ_EQUILIBRIUM,false,true,false,PROHIBITED exogenous predictor,flow-derived leakage
L-HYD,HYD_B0_TRAINING_MEAN,machine_quadratic,WASZ_MACHINE_PARAMS,true,false,true,fixed source calibration available to all,same information privilege
L-HYD,HYD_B0_TRAINING_MEAN,mass_flow_rate__g_per_s,WASZ_EQUILIBRIUM,true,true,true,training target or post-prediction score only,retrospective
L-HYD,HYD_B1_PRESSURE_QUADRATIC,pressure__bar,WASZ_LINE_PRESSURE,true,false,true,exogenous measured line pressure,conditional measured context
L-HYD,HYD_B1_PRESSURE_QUADRATIC,basket_pressure__bar,WASZ_EQUILIBRIUM,false,true,false,PROHIBITED exogenous predictor,flow-derived leakage
L-HYD,HYD_B1_PRESSURE_QUADRATIC,machine_quadratic,WASZ_MACHINE_PARAMS,true,false,true,fixed source calibration available to all,same information privilege
L-HYD,HYD_B1_PRESSURE_QUADRATIC,mass_flow_rate__g_per_s,WASZ_EQUILIBRIUM,true,true,true,training target or post-prediction score only,retrospective
L-HYD,HYD_E1_LUMPED_DARCY,pressure__bar,WASZ_LINE_PRESSURE,true,false,true,exogenous measured line pressure,conditional measured context
L-HYD,HYD_E1_LUMPED_DARCY,basket_pressure__bar,WASZ_EQUILIBRIUM,false,true,false,PROHIBITED exogenous predictor,flow-derived leakage
L-HYD,HYD_E1_LUMPED_DARCY,machine_quadratic,WASZ_MACHINE_PARAMS,true,false,true,fixed source calibration available to all,same information privilege
L-HYD,HYD_E1_LUMPED_DARCY,mass_flow_rate__g_per_s,WASZ_EQUILIBRIUM,true,true,true,training target or post-prediction score only,retrospective
