variant,scenario,time_s,R_Pa_s_m3,Q_m3_s,Q0_m3_s,c_min_kg_m3,c_max_kg_m3,solids_min,solids_max,weighted_mu_Pa_s,dilute_cell_fraction,dilute_resistance_fraction,upstream_resistance_fraction
primary,layered_3bar,0.1,892543460997.7083,3.361180862438365e-07,3.3756066923442336e-07,3.24582976049852,8.598576989787476,0.003352278585389204,0.0088317476966461,0.0003140159051720398,1.0,1.0,0.7999966325496329
primary,layered_3bar,0.2,896042287666.8152,3.348056270660656e-07,3.3756066923442336e-07,3.8087337257099483,16.67120651887066,0.003931357752177614,0.016982474792134175,0.0003152468673285622,1.0,1.0,0.7999887781745211
primary,layered_3bar,0.3,899260261754.8892,3.3360753583679516e-07,3.3756066923442336e-07,3.9056603436707507,24.260465060396104,0.004031001679033863,0.024523839693639186,0.00031637901953206064,1.0,1.0,0.7999772783311607
primary,layered_3bar,0.4,902226662782.4983,3.3251067871879293e-07,3.3756066923442336e-07,3.894795182252762,31.404501063822043,0.004019832908195297,0.031517823364198665,0.0003174226629449503,1.0,1.0,0.799962695682851
primary,layered_3bar,0.5,904966792077.2228,3.315038768565116e-07,3.3756066923442336e-07,3.8541457964028236,38.13759717323786,0.003978045419039516,0.03801831102802505,0.00031838669911615194,1.0,1.0,0.7999454780523524
primary,layered_3bar,0.6,907502694712.8724,3.305775307861955e-07,3.3756066923442336e-07,3.804601388993889,44.490648799873846,0.003927109123490081,0.04407237338232529,0.00031927888397477114,1.0,1.0,0.7999259987161026
primary,layered_3bar,0.7,909853682096.8363,3.2972334552586974e-07,3.3756066923442336e-07,3.752521295573071,50.491573225213614,0.003873560288188557,0.04972131188135,0.0003201060116875194,1.0,1.0,0.7999045740124273
primary,layered_3bar,0.8,912036746595.517,3.289341149025526e-07,3.3756066923442336e-07,3.700002124785819,56.165660728795736,0.003819554161938768,0.05500151727459271,0.00032087406053282253,1.0,1.0,0.7998814743177871
primary,layered_3bar,0.9,914066900178.0497,3.2820354827591224e-07,3.3756066923442336e-07,3.6477704158645583,61.535877110506014,0.0037658378280254336,0.05994517920183877,0.00032158831204293347,1.0,1.0,0.7998569320615042
primary,layered_3bar,1.0,915957454595.5278,3.27526129619716e-07,3.3756066923442336e-07,3.5960845316961523,66.62312528474087,0.0037126771304622948,0.06458087614733535,0.0003222534495769845,1.0,1.0,0.7998311479716587
primary,layered_3bar,1.1,917720255050.3687,3.2689700194481885e-07,3.3756066923442336e-07,3.5450357486381074,71.44647226790079,0.0036601661438468553,0.06893406864665684,0.0003228736405308746,1.0,1.0,0.7998042960863054
primary,layered_3bar,1.2,919365876281.051,3.2631187184533885e-07,3.3756066923442336e-07,3.494653769958456,76.02334678840488,0.0036083356334030143,0.07302751376608381,0.0003234526053240796,1.0,1.0,0.7997765278361327
primary,layered_3bar,1.3,920903787984.1176,3.257669301770469e-07,3.3756066923442336e-07,3.4449450591425665,80.36971186410037,0.003557192462739516,0.07688161513765816,0.0003239936755986557,1.0,1.0,0.7997479754030649
primary,layered_3bar,1.4,922342495043.1553,3.252587857680388e-07,3.3756066923442336e-07,3.395907159002246,84.5002159724356,0.0035067343158903573,0.08051471994614143,0.00032449984355479775,1.0,1.0,0.799718754503241
primary,layered_3bar,1.5,923689656935.7833,3.2478440972827367e-07,3.3756066923442336e-07,3.3475341598238444,88.4283258506411,0.0034569553200011977,0.0839433720174891,0.00032497380396077506,1.0,1.0,0.7996889667068723
primary,layered_3bar,1.6,924952189839.8807,3.2434108843175263e-07,3.3756066923442336e-07,3.2998188253329523,92.16644348026738,0.0034078482316934017,0.08718252839812893,0.0003254179900760892,1.0,1.0,0.7996587013823029
primary,layered_3bar,1.7,926136354294.388,3.2392638363555696e-07,3.3756066923442336e-07,3.2527534316196953,95.72600941228744,0.003359405300001982,0.09024574542612188,0.0003258346044924214,1.0,1.0,0.7996280373330461
primary,layered_3bar,1.8,927247830743.3851,3.235380985032735e-07,3.3756066923442336e-07,3.206330102332806,99.11759425928598,0.003311618611287037,0.09314533919371949,0.0003262256457116569,1.0,1.0,0.799597044182506
primary,layered_3bar,1.9,928291784872.6896,3.23174248537752e-07,3.3756066923442336e-07,3.1605409440092327,102.35097990728703,0.003264480228586401,0.09589252442170196,0.0003265929311326998,1.0,1.0,0.7995657835502387
primary,layered_3bar,2.0,929272924311.9879,3.2283303661527964e-07,3.3756066923442336e-07,3.1153781011712622,105.43523177116388,0.0032179822484399117,0.09849753506030309,0.00032693811700049705,1.0,1.0,0.7995343100551474
primary,layered_3bar,2.1,936869872005.5355,3.2021522835161406e-07,3.3756066923442336e-07,3.070833778884723,108.37876322617393,0.0031721168242386344,0.10096972936228775,0.0003296108859028285,0.091796875,0.14372795262140736,0.7992361239468806
primary,layered_3bar,2.2,954179978875.4203,3.144060938624752e-07,3.3756066923442336e-07,3.026900251998637,111.18939318737267,0.003126876175869357,0.10331768171219446,0.0003357009522300139,0.083984375,0.12890710798053465,0.7986355318308448
primary,layered_3bar,2.3,970651442098.125,3.090707817334829e-07,3.3756066923442336e-07,2.983569868885217,113.8743976730527,0.0030822525936977895,0.10554926311965533,0.00034149596576089994,0.080078125,0.12070559751838598,0.7980885754311793
primary,layered_3bar,2.4,986263462727.6259,3.0417835734309296e-07,3.3756066923442336e-07,2.940835052887481,116.44055607373738,0.0030382384401901963,0.10767171197692531,0.0003469886089808247,0.080078125,0.1187780172276729,0.7975742495560744
primary,layered_3bar,2.5,1001033655778.7822,2.9969022346866706e-07,3.3756066923442336e-07,2.8986883027999104,118.89419275099546,0.002994826150537232,0.10969169642770582,0.0003521850792292764,0.080078125,0.11700642912408186,0.7970817880157913
primary,layered_3bar,2.6,1015006270011.4783,2.9556467665624116e-07,3.3756066923442336e-07,2.857122192933654,121.24121450759398,0.002952008232847526,0.11161536948545454,0.00035710094416765726,0.080078125,0.11537518717443017,0.7966074255240425
primary,layered_3bar,2.7,1028223560896.6489,2.917653430722682e-07,3.3756066923442336e-07,2.8161293729972905,123.48714439989088,0.0029097772681487845,0.11344841786622323,0.0003617510701756273,0.080078125,0.11387056898891601,0.7961481618085838
primary,layered_3bar,2.8,1040725932062.6373,2.8826032940816945e-07,3.3756066923442336e-07,2.775702567890639,125.63715230296708,0.0028681259102967815,0.1151961053570147,0.0003661496721149615,0.080078125,0.11248047201530643,0.7957016323234458
primary,layered_3bar,2.9,1052551982247.0188,2.8502155243634734e-07,3.3756066923442336e-07,2.735834577453092,127.69608258716086,0.0028270468858349676,0.11686331142033261,0.0003703103298482078,0.080078125,0.1111941781091967,0.7952659881886756
primary,layered_3bar,3.0,1063738502991.4893,2.820241997035245e-07,3.3756066923442336e-07,2.6965182761844244,129.6684792200885,0.0027865329938232012,0.11845456563476878,0.00037424598742769873,0.080078125,0.1100021666292803,0.7948397893447199
