variant,scenario,alpha,absolute_integrated_pct,absolute_peak_pct,residual_integrated_pct,residual_peak_pct,integrated_uncertainty_pp,peak_uncertainty_pp
primary,layered_3bar,0.8816834149858902,23.047363019929005,29.343939102669463,14.260393260094428,19.86232280612734,0.10152716209110013,0.10696019194510742
primary,layered_9bar,0.8816834149858902,7.040414341222194,15.566695430901515,6.641953318113399,13.41939555662428,0.10152716209110013,0.10696019194510742
primary,reversed_3bar,0.8816834149858902,31.499266308195445,36.181326603223994,23.81421455629941,27.617246381120474,0.10152716209110013,0.10696019194510742
primary,reversed_9bar,0.8816834149858902,15.950972026287683,29.106348660813055,10.118842533838325,19.59284916307349,0.10152716209110013,0.10696019194510742
primary,uniform_3bar,0.8816834149858902,27.60411303243177,32.65126476168337,19.411106274576227,23.61347157767006,0.10152716209110013,0.10696019194510742
primary,uniform_9bar,0.8816834149858902,11.831658501410999,22.55314104851681,7.325479303356289,13.419395556624286,0.10152716209110013,0.10696019194510742
stress,layered_3bar,0.7958825451483534,36.89469778351765,45.37350463615787,23.513696444659892,31.36362180972358,0.1145144689475519,0.11888413322775349
stress,layered_9bar,0.7958825451483534,12.784758419294187,26.939760409103325,12.104668302188232,25.646680668640474,0.1145144689475519,0.11888413322775349
stress,reversed_3bar,0.7958825451483534,47.00198211972406,53.13698655417186,36.157194160916326,41.11817914401827,0.1145144689475519,0.11888413322775349
stress,reversed_9bar,0.7958825451483534,26.365210605728755,45.088950253377504,17.125618824734985,31.006088673062916,0.1145144689475519,0.11888413322775349
stress,uniform_3bar,0.7958825451483534,42.55736317338009,49.2287274008936,30.599528362354484,36.20758124599582,0.1145144689475519,0.11888413322775349
stress,uniform_9bar,0.7958825451483534,20.41174548516468,36.8054883874227,13.041812299150982,25.64668066864048,0.1145144689475519,0.11888413322775349
