scheme,model_id,rmse
LOCO,BASELINE-COMPOSITIONAL-RIDGE,0.0248801746311725
LOCO,BASELINE-NEAREST-CONDITION,0.0285552674672662
LOCO,BASELINE-POOL-ANALYTE,0.0288950371720662
LOCO,BASELINE-POOL-UNIVERSAL,0.0326369809954948
LOCO,MODEL-ONE-TIMESCALE,0.055201757842277
LOCO,MODEL-SPECIES-PARTIAL-POOL,0.0248442364210757
LOCO,MODEL-TWO-TIMESCALE,0.0294334872976768
LOGO,BASELINE-COMPOSITIONAL-RIDGE,0.0292534539483814
LOGO,BASELINE-NEAREST-CONDITION,0.0280120364531691
LOGO,BASELINE-POOL-ANALYTE,0.02826856986271
LOGO,BASELINE-POOL-UNIVERSAL,0.0319356460600539
LOGO,MODEL-ONE-TIMESCALE,0.0551914686018474
LOGO,MODEL-SPECIES-PARTIAL-POOL,0.0277056902945348
LOGO,MODEL-TWO-TIMESCALE,0.0290003078454199
LOSO,BASELINE-COMPOSITIONAL-RIDGE,0.0230532943465443
LOSO,BASELINE-NEAREST-CONDITION,0.0243765922791436
LOSO,BASELINE-POOL-ANALYTE,0.0281551697011151
LOSO,BASELINE-POOL-UNIVERSAL,0.0320042562579769
LOSO,MODEL-ONE-TIMESCALE,0.0552002856829773
LOSO,MODEL-SPECIES-PARTIAL-POOL,0.0230526065289631
LOSO,MODEL-TWO-TIMESCALE,0.0291823718474262
LOSO_FIXED_EXTERNAL,MODEL-PANNUSCH-FIXED,0.008853278216015602
LOCO_FIXED_EXTERNAL,MODEL-PANNUSCH-FIXED,0.008853278216015602
LOGO_FIXED_EXTERNAL,MODEL-PANNUSCH-FIXED,0.008853278216015602
