condition,shot,analyte,c_s0_scale,rmse,unnormalized_mass_sum,mass_ratio_vs_1x,max_share_delta_vs_1x
PRED-C01,PRED-E01-R1,caffeine,0.001,0.013149685663771676,0.15048050802791962,0.0009999992143641706,1.5945286732099717e-06
PRED-C01,PRED-E01-R1,caffeine,0.01,0.013149761196971222,1.5048051188972449,0.009999992400273073,2.1544018141556043e-06
PRED-C01,PRED-E01-R1,caffeine,0.1,0.013149151967795437,15.048046186650664,0.09999989076043297,6.916273071200241e-07
PRED-C01,PRED-E01-R1,caffeine,1.0,0.013149487637836792,150.48062625089122,1.0,0.0
PRED-C01,PRED-E01-R1,caffeine,10.0,0.013149503105134948,1504.8041320011648,9.999985841979791,6.53904535352634e-07
PRED-C01,PRED-E01-R1,trigonelline,0.001,0.022638720010119524,0.08345755523120901,0.0010000012822768988,1.2510898241488433e-06
PRED-C01,PRED-E01-R1,trigonelline,0.01,0.022639162918133445,0.8345748775068698,0.010000004737148894,7.701526527625902e-07
PRED-C01,PRED-E01-R1,trigonelline,0.1,0.02263913061011617,8.345741609492011,0.09999996151244532,4.5371167706198534e-07
PRED-C01,PRED-E01-R1,trigonelline,1.0,0.02263895179708571,83.45744821565113,1.0,0.0
PRED-C01,PRED-E01-R1,trigonelline,10.0,0.022638807978236995,834.5746690004097,10.000002238792371,4.222066523063006e-07
PRED-C01,PRED-E01-R2,caffeine,0.001,0.011786816690088941,0.14637048436277592,0.000999999605210177,1.3972093627218074e-06
PRED-C01,PRED-E01-R2,caffeine,0.01,0.0117869952041224,1.463704319834277,0.009999992473557383,2.010588500023225e-06
PRED-C01,PRED-E01-R2,caffeine,0.1,0.011786392713131337,14.637040057110491,0.09999990327475096,6.742768606515792e-07
PRED-C01,PRED-E01-R2,caffeine,1.0,0.011786718632501978,146.37054214837633,1.0,0.0
PRED-C01,PRED-E01-R2,caffeine,10.0,0.011786747133373725,1463.7033424764709,9.999985796272515,6.765249363285819e-07
PRED-C01,PRED-E01-R2,trigonelline,0.001,0.021813688642435002,0.08082287898860588,0.0010000002445551557,1.0216094803519593e-06
