condition_id,shot_id,telemetry_file,source_order,timestamp,profile,programmed conditions,duration,final beverage mass,corroborating fields,join_class,ambiguity,usable_channels,fraction_transition_available,clock_basis,qualification_status,notes
PRED-C01,PRED-E01-R1,P24-MASS-PRED,1,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C01,PRED-E01-R2,P24-MASS-PRED,2,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C01,PRED-E01-R3,P24-MASS-PRED,3,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C02,PRED-E02-R1,P24-MASS-PRED,4,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C02,PRED-E02-R2,P24-MASS-PRED,5,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C02,PRED-E02-R3,P24-MASS-PRED,6,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C03,PRED-E03-R1,P24-MASS-PRED,7,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C03,PRED-E03-R2,P24-MASS-PRED,8,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C03,PRED-E03-R3,P24-MASS-PRED,9,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C04,PRED-E04-R1,P24-MASS-PRED,10,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C04,PRED-E04-R2,P24-MASS-PRED,11,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C04,PRED-E04-R3,P24-MASS-PRED,12,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C05,PRED-E05-R1,P24-MASS-PRED,13,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C05,PRED-E05-R2,P24-MASS-PRED,14,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C05,PRED-E05-R3,P24-MASS-PRED,15,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C06,PRED-E06-R1,P24-MASS-PRED,16,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C06,PRED-E06-R2,P24-MASS-PRED,17,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C06,PRED-E06-R3,P24-MASS-PRED,18,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C07,PRED-E07-R1,P24-MASS-PRED,19,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C07,PRED-E07-R2,P24-MASS-PRED,20,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C07,PRED-E07-R3,P24-MASS-PRED,21,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C08,PRED-E08-R1,P24-MASS-PRED,22,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C08,PRED-E08-R2,P24-MASS-PRED,23,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
PRED-C08,PRED-E08-R3,P24-MASS-PRED,24,UNQUALIFIED,source reconstructed,available,UNQUALIFIED,quadratic fit exists,none deterministic,SOURCE_ORDER_ONLY,material,beverage-mass fit,False,UNQUALIFIED,REQUIRES_QUALIFICATION,no direct shot id; clock and vial transitions unqualified
