model_id,condition_id,physical_brew_id,evaluation_class,rmse_g,nrmse,endpoint_error_g,eligible_brews,predicted_brews,invalid_brews,coverage_fraction,coverage,invalid_time_fraction,failure_rate,invalid_intervals,failed,training_window,evaluation_window,parameter_training_source,state_initialization,state_at_split,modeled_progress_at_split,observed_progress_used_after_initialization
W-H0A,1,1-1,BLOCKED_TIME,3.541714398834712,1.003065629015549,6.214012078103386,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.65242055398899,False
W-H1,1,1-1,BLOCKED_TIME,7.899218665194224,2.237174951696095,14.06102243138697,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.346370886807389,False
W-H2,1,1-1,BLOCKED_TIME,5.398782776281984,1.5290147176156674,10.490890536093975,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,9.138226986999452,False
W-H3,1,1-1,BLOCKED_TIME,6.722727120260944,1.9039752357793485,11.733323752158785,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.319056583240586,False
W-H5,1,1-1,BLOCKED_TIME,3.541720086399743,1.0030672398176501,6.219658014048474,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.658944377850622,False
W-H0A,1,1-2,BLOCKED_TIME,5.3392349750078445,1.2868913445380856,9.26251191268815,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.380360920072615,False
W-H1,1,1-2,BLOCKED_TIME,11.489303517974797,2.7692141891603153,20.325244360007556,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.589005464185327,False
W-H2,1,1-2,BLOCKED_TIME,10.485169887733182,2.5271924606605984,20.19965340173184,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.320756550428976,False
W-H3,1,1-2,BLOCKED_TIME,9.8062996756656,2.3635674836622367,17.008104508505834,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.462062927871678,False
W-H5,1,1-2,BLOCKED_TIME,5.340601155598486,1.287220628786747,9.259671837369158,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.378852507876726,False
W-H0A,1,1-3,BLOCKED_TIME,3.0944643472667828,0.7462690572150504,5.402652355555102,1,1,0,1.0,1.0,0.0,0.0,0,False,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.262455213123593,False
