model_id,physical_brew_id,condition_id,training_window,evaluation_window,parameter_training_source,state_initialization,state_at_split,modeled_progress_at_split,observed_progress_used_after_initialization,nrmse,coverage_fraction,failed,invalid_intervals
W-H0A,1-1,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.65242055398899,False,1.003065629015549,1.0,False,0
W-H1,1-1,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.346370886807389,False,2.237174951696095,1.0,False,0
W-H2,1-1,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,9.138226986999452,False,1.5290147176156674,1.0,False,0
W-H3,1-1,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.319056583240586,False,1.9039752357793485,1.0,False,0
W-H5,1-1,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.658944377850622,False,1.0030672398176501,1.0,False,0
W-H0A,1-2,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.380360920072615,False,1.2868913445380856,1.0,False,0
W-H1,1-2,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.589005464185327,False,2.7692141891603153,1.0,False,0
W-H2,1-2,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.320756550428976,False,2.5271924606605984,1.0,False,0
W-H3,1-2,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,18.462062927871678,False,2.3635674836622367,1.0,False,0
W-H5,1-2,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,17.378852507876726,False,1.287220628786747,1.0,False,0
W-H0A,1-3,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.262455213123593,False,0.7462690572150504,1.0,False,0
W-H1,1-3,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.014045226464296,False,1.7875367715091381,1.0,False,0
W-H2,1-3,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,8.807465276176197,False,1.1498241132966907,1.0,False,0
W-H3,1-3,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.957341274481799,False,1.5046160361469034,1.0,False,0
W-H5,1-3,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.265017835237803,False,0.7466789613523207,1.0,False,0
W-H0A,1-4,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.185201146112828,False,0.7370642991629865,1.0,False,0
W-H1,1-4,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.993293766862347,False,1.7766286531340403,1.0,False,0
W-H2,1-4,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,8.750949024673442,False,1.1324477010179848,1.0,False,0
W-H3,1-4,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.918960074566506,False,1.493080671300626,1.0,False,0
W-H5,1-4,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.185673293664008,False,0.7372475673956327,1.0,False,0
W-H0A,1-5b,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.269030553690856,False,0.7937003793629375,1.0,False,0
W-H1,1-5b,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.139109095882946,False,1.8899960046397486,1.0,False,0
W-H2,1-5b,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,8.814630623537253,False,1.2109652500780292,1.0,False,0
W-H3,1-5b,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,13.045204215799565,False,1.5885768057631824,1.0,False,0
W-H5,1-5b,1,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,12.27605918676069,False,0.7938963728599706,1.0,False,0
W-H0A,10-2,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.30218893592146,False,0.1119572206414716,1.0,False,0
W-H1,10-2,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,75.37839786167584,False,0.278393897703033,1.0,False,0
W-H2,10-2,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.25228728637417,False,0.417325273619888,1.0,False,0
W-H3,10-2,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,73.9673139841215,False,0.16592528222389752,1.0,False,0
W-H5,10-2,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.31141223050118,False,0.1119282111284861,1.0,False,0
W-H0A,10-3,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.0249970098946,False,0.10299020758409831,1.0,False,0
W-H1,10-3,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,75.1434466985692,False,0.2963696289102767,1.0,False,0
W-H2,10-3,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.06348711487405,False,0.4418907828712608,1.0,False,0
W-H3,10-3,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,73.7451732983187,False,0.1817920991277024,1.0,False,0
W-H5,10-3,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.0311272051202,False,0.10298963851282358,1.0,False,0
W-H0A,10-4,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.02398373610392,False,0.10337154487037582,1.0,False,0
W-H1,10-4,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,75.10911164152854,False,0.29689830028620856,1.0,False,0
W-H2,10-4,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,76.04035481031498,False,0.44344890052501146,1.0,False,0
W-H3,10-4,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,73.71289061108175,False,0.18189913963594517,1.0,False,0
W-H5,10-4,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,68.0369992343161,False,0.10336954692681814,1.0,False,0
W-H0A,10-5,11,other_brews_15_60,held_brew_60_95,OTHER_PHYSICAL_BREWS_PREFIX_ONLY,ANALYSIS_START_15S,CONTINUED_FROM_MODELED_PREFIX,67.46853248397754,False,0.11569086390006023,1.0,False,0
