condition_id,reference_pressure_round_bar,physical_brew_id,canonical_brew_id,alias_id,alias_status,independent_physical_brew,n_time_samples,first_time,last_time,cadence_s,measured_line_pressure_available,derived_basket_pressure_available,scale_mass_available,derived_flow_available,equilibrium_window_available,excluded,exclusion_reason,source_dataset_id,source_hash,notes
1.0,1.0,1-1,1-1,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
1.0,1.0,1-2,1-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
1.0,1.0,1-3,1-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
1.0,1.0,1-4,1-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
1.0,1.0,1-5b,1-5b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
11.0,11.0,10-2,10-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
11.0,11.0,10-3,10-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
11.0,11.0,10-4,10-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
11.0,11.0,10-5,10-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-2,12-8-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-3,12-8-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-4,12-8-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-5,12-8-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-6,12-8-6,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-6,12-8-6,12-8-6_alt,DUPLICATE_REPRESENTATION,false,1000,0,100,0.1001001001001001,True,True,True,True,True,true,duplicate alias,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
13.0,13.0,12-8-7,12-8-7,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
2.0,2.0,2-2,2-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
2.0,2.0,2-3,2-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
2.0,2.0,2-4,2-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
2.0,2.0,2-5,2-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
3.5,3.5,3-5-3,3-5-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
3.5,3.5,3-5-4,3-5-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
3.5,3.5,3-5-5,3-5-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-1,4-1,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-1b,4-1b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-2,4-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-2b,4-2b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-3,4-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-3b,4-3b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-4,4-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-4b,4-4b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-5,4-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
4.0,4.0,4-5b,4-5b,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
5.0,5.0,5-1,5-1,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
5.0,5.0,5-2,5-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
5.0,5.0,5-3,5-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
5.0,5.0,5-4,5-4,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
5.0,5.0,5-5,5-5,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
6.0,6.0,6-1,6-1,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
6.0,6.0,6-2,6-2,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
6.0,6.0,6-3,6-3,,CANONICAL,true,1000,0,100,0.1001001001001001,True,True,True,True,True,false,,waszkiewicz2025/traces_per_brew,55fcc6290113932d863b0b6aa6571ad169e5e32f78920659c2cefe2184abef08,time derived from documented 1000-point 0-100 s grid
