model_id,condition_id,reference_pressure_bar,fixed_error,evolving_error,paired_difference,relative_difference,brew_count,source_SEM_context,winner,influence_on_mean,leave_condition_out_mean,leave_condition_out_interval,adoption_gate_without_condition
W-H1,1,1,2.2203138052901727,2.0150256505983988,-0.20528815469177397,-0.09245907231790818,5,aggregate SEM; time rows not independent,EVOLVING,-0.01683062165821255,-0.020151316451435815,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,2,2,0.2862244513399901,0.23047400085097566,-0.05575045048901442,-0.19477878367139068,4,aggregate SEM; time rows not independent,EVOLVING,-0.0018768512379365998,-0.035105086871711766,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,3.5,3.5,0.23491355292282934,0.26849778973157107,0.03358423680874173,0.1429642368049083,3,aggregate SEM; time rows not independent,FIXED,0.007056617491839015,-0.04403855560148738,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,4,4,0.25833821899422305,0.28329152057650603,0.024953301582282983,0.09659159871672332,10,aggregate SEM; time rows not independent,FIXED,0.006193523969193135,-0.0431754620788415,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,5,5,0.23495993009928187,0.25638165951607367,0.021421729416791796,0.09117184112090979,5,aggregate SEM; time rows not independent,FIXED,0.005840366752644023,-0.04282230486229239,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,6,6,0.21267051785334165,0.2346540708952155,0.021983553041873855,0.10336906715501483,6,aggregate SEM; time rows not independent,FIXED,0.005896549115152229,-0.042878487224800595,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,7,7,0.10319186407010231,0.11058086485684407,0.007389000786741762,0.07160448988228492,4,aggregate SEM; time rows not independent,FIXED,0.004437093889639018,-0.041419031999287384,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,8,8,0.08494014177146439,0.04252559224043523,-0.04241454953102916,-0.49934634728003613,4,aggregate SEM; time rows not independent,EVOLVING,-0.0005432611421380754,-0.03643867696751029,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,9,9,0.14423831236638224,0.0836877980164958,-0.06055051434988644,-0.41979494460584804,5,aggregate SEM; time rows not independent,EVOLVING,-0.0023568576240238087,-0.03462508048562456,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,11,11,0.304878901228466,0.24062299391964553,-0.06425590730882047,-0.2107587866851739,4,aggregate SEM; time rows not independent,EVOLVING,-0.002727396919917205,-0.03425454118973116,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H1,13,13,0.8331414050348749,0.7452678405628351,-0.08787356447203976,-0.10547256917132981,6,aggregate SEM; time rows not independent,EVOLVING,-0.005089162636239139,-0.03189277547340923,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,1,1,2.2203138052901727,1.221577436337039,-0.9987363689531337,-0.44981766386963884,5,aggregate SEM; time rows not independent,EVOLVING,-0.08780473696966726,-0.03288426228679378,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,2,2,0.2862244513399901,0.11086230981368028,-0.1753621415263098,-0.6126735179518499,4,aggregate SEM; time rows not independent,EVOLVING,-0.005467314226984876,-0.11522168502947616,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,3.5,3.5,0.23491355292282934,0.3175027488664535,0.08258919594362418,0.351572716499483,3,aggregate SEM; time rows not independent,FIXED,0.02032781952000856,-0.1410168187764696,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,4,4,0.25833821899422305,0.31949101096088567,0.06115279196666262,0.2367160082033008,10,aggregate SEM; time rows not independent,FIXED,0.018184179122312377,-0.13887317837877342,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,5,5,0.23495993009928187,0.28961341014866887,0.054653480049387,0.23260766219283976,5,aggregate SEM; time rows not independent,FIXED,0.017534247930584806,-0.13822324718704584,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,6,6,0.21267051785334165,0.26919909747913356,0.056528579625791914,0.2658035547022753,6,aggregate SEM; time rows not independent,FIXED,0.017721757888225304,-0.13841075714468634,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,7,7,0.10319186407010231,0.15257582588728175,0.04938396181717944,0.47856449015816754,4,aggregate SEM; time rows not independent,FIXED,0.01700729610736404,-0.13769629536382508,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,8,8,0.08494014177146439,0.07625079021428241,-0.008689351557181979,-0.10229970631036978,4,aggregate SEM; time rows not independent,EVOLVING,0.011199964769927906,-0.13188896402638894,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,9,9,0.14423831236638224,0.06215823197254029,-0.08208008039384194,-0.569058796149451,5,aggregate SEM; time rows not independent,EVOLVING,0.00386089188626193,-0.12454989114272297,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,11,11,0.304878901228466,0.1663711762548165,-0.1385077249736495,-0.4543040676660549,4,aggregate SEM; time rows not independent,EVOLVING,-0.0017818725717188288,-0.11890712668474221,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H2,13,13,0.8331414050348749,0.6046300712152751,-0.22851133381959976,-0.27427677035212816,6,aggregate SEM; time rows not independent,EVOLVING,-0.010782233456313864,-0.10990676580014717,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,1,1,2.2203138052901727,2.0591790146804905,-0.16113479060968228,-0.07257298055155928,5,aggregate SEM; time rows not independent,EVOLVING,-0.012982664575178243,-0.01832548028272163,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,2,2,0.2862244513399901,0.24604300722201686,-0.040181444117973225,-0.1403843869028643,4,aggregate SEM; time rows not independent,EVOLVING,-0.0008873299260073395,-0.030420814931892533,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,3.5,3.5,0.23491355292282934,0.26184667014783414,0.0269331172250048,0.11465118504189713,3,aggregate SEM; time rows not independent,FIXED,0.005824126208290467,-0.03713227106619034,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,4,4,0.25833821899422305,0.27749215702664515,0.019153938032422102,0.07414287404702756,10,aggregate SEM; time rows not independent,FIXED,0.005046208289032197,-0.03635435314693207,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,5,5,0.23495993009928187,0.25110566888303093,0.01614573878374906,0.06871698836872614,5,aggregate SEM; time rows not independent,FIXED,0.004745388364164889,-0.03605353322206476,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,6,6,0.21267051785334165,0.22896108644533297,0.016290568591991322,0.0766000325594042,6,aggregate SEM; time rows not independent,FIXED,0.0047598713449891125,-0.036068016202888985,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,7,7,0.10319186407010231,0.10371155314350959,0.000519689073407284,0.0050361438674490725,4,aggregate SEM; time rows not independent,FIXED,0.00318278339313071,-0.03449092825103058,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,8,8,0.08494014177146439,0.042922830692240045,-0.042017311079224344,-0.4946696603388534,4,aggregate SEM; time rows not independent,EVOLVING,-0.0010709166221324513,-0.03023722823576742,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,9,9,0.14423831236638224,0.08957647193230803,-0.05466184043407421,-0.37896894061840325,5,aggregate SEM; time rows not independent,EVOLVING,-0.0023353695576174387,-0.028972775300282434,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,11,11,0.304878901228466,0.2514021062458798,-0.05347679498258623,-0.1754033971098332,4,aggregate SEM; time rows not independent,EVOLVING,-0.0022168650124686426,-0.02909127984543123,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H3,13,13,0.8331414050348749,0.7611809411149421,-0.07196046391993283,-0.08637244948463532,6,aggregate SEM; time rows not independent,EVOLVING,-0.004065231906203299,-0.027242912951696573,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H5,1,1,2.2203138052901727,2.220897919244193,0.0005841139540203599,0.00026307720675727733,5,aggregate SEM; time rows not independent,FIXED,5.0397889635374976e-05,2.973716803123527e-05,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
W-H5,2,2,0.2862244513399901,0.2863375082052664,0.00011305686527629533,0.0003949937356749489,4,aggregate SEM; time rows not independent,FIXED,3.292180760968512e-06,7.684287690564174e-05,DESCRIPTIVE_NOT_REBOOTSTRAPPED,FAIL
