model_id,evaluation_class,fold_id,brew_id,condition_id,invalid_reason,invalid_intervals,invalid_duration_s,invalid_fraction,legacy_zero_substitutions,inside_primary_LOCO,inside_blocked_time,coverage_fraction,failure
W-H0A,LOBO,1-1,1-1,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,1-1,1-1,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,1-1,1-1,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,1-1,1-1,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,1-1,1-1,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,1-2,1-2,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,1-2,1-2,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,1-2,1-2,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,1-2,1-2,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,1-2,1-2,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,1-3,1-3,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,1-3,1-3,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,1-3,1-3,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,1-3,1-3,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,1-3,1-3,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,1-4,1-4,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,1-4,1-4,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,1-4,1-4,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,1-4,1-4,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,1-4,1-4,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,1-5b,1-5b,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,1-5b,1-5b,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,1-5b,1-5b,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,1-5b,1-5b,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,1-5b,1-5b,1,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,10-2,10-2,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,10-2,10-2,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,10-2,10-2,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,10-2,10-2,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,10-2,10-2,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,10-3,10-3,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,10-3,10-3,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,10-3,10-3,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,10-3,10-3,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,10-3,10-3,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,10-4,10-4,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,10-4,10-4,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,10-4,10-4,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,10-4,10-4,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,10-4,10-4,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,10-5,10-5,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,10-5,10-5,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,10-5,10-5,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,10-5,10-5,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,10-5,10-5,11,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,12-8-2,12-8-2,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,12-8-2,12-8-2,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,12-8-2,12-8-2,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,12-8-2,12-8-2,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,12-8-2,12-8-2,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,12-8-3,12-8-3,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,12-8-3,12-8-3,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,12-8-3,12-8-3,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,12-8-3,12-8-3,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,12-8-3,12-8-3,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,12-8-4,12-8-4,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,12-8-4,12-8-4,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,12-8-4,12-8-4,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,12-8-4,12-8-4,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,12-8-4,12-8-4,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,12-8-5,12-8-5,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,12-8-5,12-8-5,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,12-8-5,12-8-5,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H3,LOBO,12-8-5,12-8-5,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H5,LOBO,12-8-5,12-8-5,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H0A,LOBO,12-8-6,12-8-6,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H1,LOBO,12-8-6,12-8-6,13,NONE,0,0.0,0.0,0,False,False,1.0,False
W-H2,LOBO,12-8-6,12-8-6,13,NONE,0,0.0,0.0,0,False,False,1.0,False
