model_id,condition_id,physical_brew_id,evaluation_class,rmse_g,nrmse,endpoint_error_g,coverage,failed
W-H0A,1,1-1,LOBO,6.547525527732862,0.7923141324490988,11.396042632717101,1.0,False
W-H1,1,1-1,LOBO,5.600887623253292,0.6777617589067126,11.664013988081706,1.0,False
W-H2,1,1-1,LOBO,3.0261532005710077,0.3661939060203548,6.888826656422163,1.0,False
W-H3,1,1-1,LOBO,5.819930660491868,0.7042680922205121,11.75477733392069,1.0,False
W-H5,1,1-1,LOBO,6.553588469662725,0.7930478072633322,11.408554432839207,1.0,False
W-H0A,1,1-2,LOBO,11.396138802852246,1.22018645228924,19.577419836623108,1.0,False
W-H1,1,1-2,LOBO,10.072809672349324,1.0784973850627833,20.18332459443542,1.0,False
W-H2,1,1-2,LOBO,6.73605229689053,0.7212302251461272,14.896683652459503,1.0,False
W-H3,1,1-2,LOBO,10.373140523955712,1.1106538586433687,20.270272286842292,1.0,False
W-H5,1,1-2,LOBO,11.395813719213608,1.2201516455306889,19.572507712075627,1.0,False
W-H0A,1,1-3,LOBO,5.75112327726171,0.6194974624158818,9.828626826705015,1.0,False
W-H1,1,1-3,LOBO,4.861276546105838,0.5236452670596032,10.173734518935571,1.0,False
W-H2,1,1-3,LOBO,2.2934387823146523,0.24704382732803712,5.355378137304431,1.0,False
W-H3,1,1-3,LOBO,5.064070591630269,0.5454897643062789,10.24396021530806,1.0,False
W-H5,1,1-3,LOBO,5.755726724047798,0.6199933348680726,9.837559281180845,1.0,False
W-H0A,1,1-4,LOBO,5.642021957097275,0.6041303808402192,9.615345628031799,1.0,False
W-H1,1,1-4,LOBO,4.77097591719026,0.5108614464369359,9.971679279652461,1.0,False
W-H2,1,1-4,LOBO,2.208259018570263,0.23645359270616195,5.169182100505852,1.0,False
W-H3,1,1-4,LOBO,4.970426242694616,0.5322179746500314,10.037333062919094,1.0,False
W-H5,1,1-4,LOBO,5.6428111184968115,0.6042148818188527,9.615315450985863,1.0,False
W-H0A,1,1-5b,LOBO,6.480672637006472,0.77573826781816,10.728322433105603,1.0,False
W-H1,1,1-5b,LOBO,5.56784847379659,0.6664729685423608,11.131889596671364,1.0,False
W-H2,1,1-5b,LOBO,2.958278767685251,0.354106768773222,6.232177034086469,1.0,False
W-H3,1,1-5b,LOBO,5.767377343036221,0.6903566281674155,11.19072482574445,1.0,False
