model_id,condition_id,physical_brew_id,evaluation_class,rmse_g,nrmse,endpoint_error_g,eligible_brews,predicted_brews,invalid_brews,coverage_fraction,coverage,invalid_time_fraction,failure_rate,invalid_intervals,failed
W-H0A,1,1-1,LOCO,18.79689102363027,2.2746062372794924,32.59388154489881,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H0A,1,1-2,LOCO,24.956411384291275,2.672087063492744,43.056100417938815,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H0A,1,1-3,LOCO,18.171419288194087,1.957382513784529,31.34297660527635,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H0A,1,1-4,LOCO,18.100481279092847,1.9381439369930278,31.180011990165774,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H0A,1,1-5b,LOCO,18.875055712378526,2.259349274901071,32.186520459297604,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H1,1,1-1,LOCO,17.056304814616468,2.0639784136373662,33.807969154575275,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H1,1,1-2,LOCO,22.766034203880245,2.4375630192373228,44.7551018525066,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H1,1,1-3,LOCO,16.455347144595326,1.7725312617716888,32.596490732324234,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H1,1,1-4,LOCO,16.380071538197686,1.7539277464373026,32.40421792597881,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H1,1,1-5b,LOCO,17.10211516624444,2.047127811908315,33.393832437547324,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H2,1,1-1,LOCO,10.024870284339698,1.213106595554067,21.540810652818234,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H2,1,1-2,LOCO,15.641780367169735,1.6747679914996714,33.58453659567753,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H2,1,1-3,LOCO,9.414216920846535,1.0140772875023332,20.273678797107323,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H2,1,1-4,LOCO,9.345170505472314,1.0006521526180645,20.103933853417658,1,1,0,1.0,1.0,0.0,0.0,0,False
W-H2,1,1-5b,LOCO,10.069176529416291,1.2052831545110594,21.111709208543168,1,1,0,1.0,1.0,0.0,0.0,0,False
