brew_id,condition_id,negative_derived_flow_rows,negative_flow_rows_primary_15_95,negative_flow_min,negative_flow_median,nonmonotone_mass_steps,nonmonotone_steps_primary_15_95,negative_mass_excursion_g
1-1,1,47,0,-0.01663,-0.00663,313,226,3.216810000000004
1-2,1,44,0,-0.0242,-0.007105,293,213,2.779170000000004
1-3,1,69,9,-0.0171,-0.0074,297,205,2.7674799999999973
1-4,1,76,3,-0.02209,-0.00696,287,203,2.8712499999999936
1-5b,1,78,32,-0.03308,-0.009235,281,198,2.8301799999999937
10-2,11,88,0,-0.05441,-0.015195,94,16,0.8860899999999997
10-3,11,22,0,-0.01084,-0.00213,76,14,0.7273200000000002
10-4,11,34,0,-0.03355,-0.0066549999999999995,78,14,0.7084
10-5,11,35,0,-0.05061,-0.00974,69,4,0.5792000000000002
12-8-2,13,56,0,-0.02215,-0.00707,70,9,0.63213
12-8-3,13,74,0,-0.02029,-0.009049999999999999,95,27,0.7842499999999992
12-8-4,13,89,0,-0.04032,-0.00702,110,29,0.9326199999999996
12-8-5,13,66,0,-0.01526,-0.004399999999999999,99,26,0.8386999999999989
12-8-6,13,73,0,-0.02912,-0.00815,84,9,0.74575
12-8-7,13,70,0,-0.07429,-0.007635,85,15,0.8535699999999998
2-2,2,25,0,-0.02818,-0.0102,121,51,1.0990599999999981
2-3,2,27,0,-0.01449,-0.00792,137,83,1.2029299999999816
2-4,2,55,0,-0.03002,-0.01305,135,71,1.5924599999999947
2-5,2,30,0,-0.02774,-0.01038,130,66,1.219750000000002
3-5-3,3.5,39,0,-0.04668,-0.01111,43,0,0.45693999999999996
3-5-4,3.5,32,0,-0.02316,-0.00963,45,0,0.3789799999999999
3-5-5,3.5,39,0,-0.07689,-0.01466,55,1,0.4829300000000001
4-1,4,26,0,-0.0332,-0.019860000000000003,40,0,0.5364499999999999
4-1b,4,19,0,-0.01953,-0.00836,52,2,0.65353
4-2,4,32,0,-0.03619,-0.008505,59,1,0.81256
4-2b,4,73,0,-0.03909,-0.01371,59,0,0.5308399999999999
4-3,4,18,0,-0.02856,-0.014845,65,4,0.61656
4-3b,4,69,0,-0.01802,-0.00819,74,1,0.5700900000000003
4-4,4,33,0,-0.01136,-0.00443,46,0,0.42950999999999995
4-4b,4,73,0,-0.03347,-0.01116,66,3,0.6244399999999999
4-5,4,47,0,-0.03369,-0.01272,51,1,0.5349700000000002
4-5b,4,45,0,-0.02564,-0.01188,59,2,0.6084799999999999
5-1,5,45,0,-0.01617,-0.00648,63,3,0.6994199999999998
5-2,5,58,0,-0.02368,-0.008715,61,3,0.6094800000000006
5-3,5,25,0,-0.01449,-0.00508,51,0,0.5204199999999999
5-4,5,32,0,-0.02265,-0.007865,46,1,0.6436300000000005
5-5,5,54,0,-0.03159,-0.013694999999999999,63,6,0.7552100000000003
6-1,6,41,0,-0.01233,-0.00632,57,0,0.5675399999999999
6-2,6,39,0,-0.03203,-0.01275,53,0,0.4381299999999999
6-3,6,56,0,-0.02927,-0.00853,46,0,0.38333000000000017
6-4,6,28,0,-0.02064,-0.008195000000000001,56,1,0.67107
6-5,6,60,0,-0.03961,-0.01833,79,8,0.9072400000000006
6-6,6,31,0,-0.03818,-0.01548,64,3,0.9959000000000002
7-1,7,45,0,-0.08376,-0.02172,71,4,0.6023100000000002
7-2,7,47,0,-0.02543,-0.00502,80,16,0.8146799999999998
7-3,7,11,0,-0.00786,-0.0013,68,7,0.6295799999999994
7-4,7,41,0,-0.02138,-0.00565,71,5,0.6411799999999999
8-1,8,18,0,-0.03004,-0.014374999999999999,56,4,0.5590000000000004
8-1b,8,75,0,-0.03728,-0.01515,91,14,0.8478500000000004
8-2,8,23,0,-0.01986,-0.00662,81,12,0.6759700000000002
8-3,8,38,0,-0.0307,-0.023585000000000002,65,3,0.6206300000000005
9-1,9,59,0,-0.03184,-0.00913,69,5,0.6506500000000003
9-2,9,24,0,-0.01248,-0.004725,63,7,0.5733499999999998
9-3,9,77,0,-0.03743,-0.01252,100,25,0.8367599999999992
9-4,9,46,0,-0.03,-0.007,80,9,0.7066100000000012
9-5,9,62,0,-0.03814,-0.015155,94,22,0.7950699999999997
SOURCE_TOTAL_INCLUDING_DUPLICATE_ALIAS,ALL,73,ALIAS_CONTEXT_ONLY,,,0,0,0
