model_id,fold_id,parameter_index,value,finite,within_bounds
W-H0A,LOCO-1,0,0.28138977241531105,True,True
W-H0A,LOCO-1,1,0.6662012768244514,True,True
W-H1,LOCO-1,0,-0.05482210593444905,True,True
W-H1,LOCO-1,1,0.662628021889371,True,True
W-H1,LOCO-1,2,1.462821636888629,True,True
W-H1,LOCO-1,3,20.0,True,True
W-H2,LOCO-1,0,-0.24654117613629953,True,True
W-H2,LOCO-1,1,0.7412483425123156,True,True
W-H2,LOCO-1,2,1.5313621420351526,True,True
W-H2,LOCO-1,3,20.0,True,True
W-H3,LOCO-1,0,0.05001295703172671,True,True
W-H3,LOCO-1,1,0.6627110494795231,True,True
W-H3,LOCO-1,2,0.9958614809380323,True,True
W-H3,LOCO-1,3,35.0,True,True
W-H3,LOCO-1,4,5.0,True,True
W-H5,LOCO-1,0,0.28138977241531105,True,True
W-H5,LOCO-1,1,0.6662012768244514,True,True
W-H0A,LOCO-2,0,1.001349961423348,True,True
W-H0A,LOCO-2,1,0.2923863948918024,True,True
W-H1,LOCO-2,0,0.681557351333448,True,True
W-H1,LOCO-2,1,0.2795652673568327,True,True
W-H1,LOCO-2,2,1.4714381334559767,True,True
W-H1,LOCO-2,3,20.0,True,True
W-H2,LOCO-2,0,0.042570698067946285,True,True
W-H2,LOCO-2,1,0.5660664834889603,True,True
W-H2,LOCO-2,2,1.7220528358488378,True,True
W-H2,LOCO-2,3,20.0,True,True
W-H3,LOCO-2,0,0.7819219549828091,True,True
W-H3,LOCO-2,1,0.2824755594551823,True,True
W-H3,LOCO-2,2,0.999532686635122,True,True
W-H3,LOCO-2,3,35.0,True,True
W-H3,LOCO-2,4,5.0,True,True
W-H5,LOCO-2,0,1.001349961423348,True,True
W-H5,LOCO-2,1,0.2923863948918024,True,True
W-H0A,LOCO-3.5,0,1.179433266627555,True,True
W-H0A,LOCO-3.5,1,0.21521624854259347,True,True
W-H1,LOCO-3.5,0,0.8597540804048018,True,True
W-H1,LOCO-3.5,1,0.20482054390502966,True,True
W-H1,LOCO-3.5,2,1.4502420074375073,True,True
W-H1,LOCO-3.5,3,20.0,True,True
W-H2,LOCO-3.5,0,0.12123810245826684,True,True
W-H2,LOCO-3.5,1,0.5295583279083246,True,True
W-H2,LOCO-3.5,2,1.7371297925807594,True,True
W-H2,LOCO-3.5,3,20.0,True,True
W-H3,LOCO-3.5,0,0.960044763983241,True,True
W-H3,LOCO-3.5,1,0.20719238593795386,True,True
W-H3,LOCO-3.5,2,0.9835757501795481,True,True
W-H3,LOCO-3.5,3,35.0,True,True
W-H3,LOCO-3.5,4,5.0,True,True
W-H5,LOCO-3.5,0,1.179433266627555,True,True
W-H5,LOCO-3.5,1,0.21521624854259347,True,True
W-H0A,LOCO-4,0,1.316581759129156,True,True
W-H0A,LOCO-4,1,0.1858230081200031,True,True
W-H1,LOCO-4,0,0.9796474232208079,True,True
W-H1,LOCO-4,1,0.17493290222760882,True,True
W-H1,LOCO-4,2,1.5313820656887958,True,True
W-H1,LOCO-4,3,20.0,True,True
W-H2,LOCO-4,0,0.1876401200191789,True,True
W-H2,LOCO-4,1,0.51498327139511,True,True
W-H2,LOCO-4,2,1.7556818240444865,True,True
W-H2,LOCO-4,3,20.0,True,True
W-H3,LOCO-4,0,1.0832376554681815,True,True
W-H3,LOCO-4,1,0.17734843576034184,True,True
W-H3,LOCO-4,2,1.0481603155150008,True,True
W-H3,LOCO-4,3,35.0,True,True
W-H3,LOCO-4,4,5.0,True,True
W-H5,LOCO-4,0,1.316581759129156,True,True
W-H5,LOCO-4,1,0.1858230081200031,True,True
W-H0A,LOCO-5,0,1.18048734647646,True,True
W-H0A,LOCO-5,1,0.23199460158136168,True,True
W-H1,LOCO-5,0,0.8710013095514055,True,True
W-H1,LOCO-5,1,0.2224191202817466,True,True
W-H1,LOCO-5,2,1.4001679791504655,True,True
W-H1,LOCO-5,3,20.0,True,True
W-H2,LOCO-5,0,0.16284930459681496,True,True
W-H2,LOCO-5,1,0.526828559845381,True,True
W-H2,LOCO-5,2,1.6964674665775434,True,True
W-H2,LOCO-5,3,20.0,True,True
W-H3,LOCO-5,0,0.9675167979086091,True,True
W-H3,LOCO-5,1,0.2245595807988953,True,True
W-H3,LOCO-5,2,0.9520294440541077,True,True
W-H3,LOCO-5,3,35.0,True,True
W-H3,LOCO-5,4,5.0,True,True
W-H5,LOCO-5,0,1.18048734647646,True,True
W-H5,LOCO-5,1,0.23199460158136168,True,True
W-H0A,LOCO-6,0,1.1470669778809184,True,True
W-H0A,LOCO-6,1,0.2522582732352183,True,True
W-H1,LOCO-6,0,0.8378865188677364,True,True
W-H1,LOCO-6,1,0.24270326663520733,True,True
W-H1,LOCO-6,2,1.3980282400776871,True,True
W-H1,LOCO-6,3,20.0,True,True
W-H2,LOCO-6,0,0.13657429163815407,True,True
W-H2,LOCO-6,1,0.5413366440382623,True,True
W-H2,LOCO-6,2,1.7072815713190546,True,True
W-H2,LOCO-6,3,20.0,True,True
W-H3,LOCO-6,0,0.9346056108265444,True,True
W-H3,LOCO-6,1,0.2448301215171865,True,True
W-H3,LOCO-6,2,0.9492941262285042,True,True
W-H3,LOCO-6,3,35.0,True,True
W-H3,LOCO-6,4,5.0,True,True
W-H5,LOCO-6,0,1.1470669778809184,True,True
W-H5,LOCO-6,1,0.2522582732352183,True,True
W-H0A,LOCO-7,0,1.1220459631275763,True,True
W-H0A,LOCO-7,1,0.24147582834349476,True,True
W-H1,LOCO-7,0,0.8285878024522114,True,True
W-H1,LOCO-7,1,0.23227436693468936,True,True
W-H1,LOCO-7,2,1.3271130377350677,True,True
W-H1,LOCO-7,3,20.0,True,True
W-H2,LOCO-7,0,0.12681555805202024,True,True
W-H2,LOCO-7,1,0.5337989698816011,True,True
W-H2,LOCO-7,2,1.6969732428564153,True,True
W-H2,LOCO-7,3,20.0,True,True
W-H3,LOCO-7,0,0.9212862390529506,True,True
W-H3,LOCO-7,1,0.23436977635236145,True,True
W-H3,LOCO-7,2,0.897068847471768,True,True
W-H3,LOCO-7,3,35.0,True,True
W-H3,LOCO-7,4,5.0,True,True
W-H5,LOCO-7,0,1.1220459631275763,True,True
W-H5,LOCO-7,1,0.24147582834349476,True,True
W-H0A,LOCO-8,0,1.1246173635661736,True,True
W-H0A,LOCO-8,1,0.23135171742780275,True,True
W-H1,LOCO-8,0,0.8323858679639612,True,True
W-H1,LOCO-8,1,0.2220984884500144,True,True
W-H1,LOCO-8,2,1.3218547583302112,True,True
W-H1,LOCO-8,3,20.0,True,True
W-H2,LOCO-8,0,0.12863263396709707,True,True
W-H2,LOCO-8,1,0.52695782269779,True,True
W-H2,LOCO-8,2,1.6962874130923224,True,True
W-H2,LOCO-8,3,20.0,True,True
W-H3,LOCO-8,0,0.9248413848859846,True,True
W-H3,LOCO-8,1,0.22420393773472755,True,True
W-H3,LOCO-8,2,0.892938863049684,True,True
W-H3,LOCO-8,3,35.0,True,True
W-H3,LOCO-8,4,5.0,True,True
W-H5,LOCO-8,0,1.1246173635661736,True,True
W-H5,LOCO-8,1,0.23135171742780275,True,True
W-H0A,LOCO-9,0,1.1411586175526687,True,True
W-H0A,LOCO-9,1,0.21068878360566382,True,True
W-H1,LOCO-9,0,0.8612375165400113,True,True
W-H1,LOCO-9,1,0.20142939470297117,True,True
W-H1,LOCO-9,2,1.2677452619689134,True,True
W-H1,LOCO-9,3,20.0,True,True
W-H2,LOCO-9,0,0.15341012174912863,True,True
W-H2,LOCO-9,1,0.5114122643679945,True,True
W-H2,LOCO-9,2,1.668594691407045,True,True
W-H2,LOCO-9,3,20.0,True,True
W-H3,LOCO-9,0,0.950551196410291,True,True
W-H3,LOCO-9,1,0.2035781636002392,True,True
W-H3,LOCO-9,2,0.8530977016247501,True,True
W-H3,LOCO-9,3,35.0,True,True
W-H3,LOCO-9,4,5.0,True,True
W-H5,LOCO-9,0,1.1411586175526687,True,True
W-H5,LOCO-9,1,0.21068878360566382,True,True
W-H0A,LOCO-11,0,1.170690760444387,True,True
W-H0A,LOCO-11,1,0.18486527236544095,True,True
W-H1,LOCO-11,0,0.8863234008951522,True,True
W-H1,LOCO-11,1,0.1753928566607021,True,True
W-H1,LOCO-11,2,1.2885368654882463,True,True
W-H1,LOCO-11,3,20.0,True,True
W-H2,LOCO-11,0,0.17754547191126743,True,True
W-H2,LOCO-11,1,0.49334600225107283,True,True
W-H2,LOCO-11,2,1.658108651910531,True,True
W-H2,LOCO-11,3,20.0,True,True
W-H3,LOCO-11,0,0.9768325635167981,True,True
W-H3,LOCO-11,1,0.17755146554332113,True,True
W-H3,LOCO-11,2,0.8683069267447567,True,True
W-H3,LOCO-11,3,35.0,True,True
W-H3,LOCO-11,4,5.0,True,True
W-H5,LOCO-11,0,1.170690760444387,True,True
W-H5,LOCO-11,1,0.18486527236544095,True,True
W-H0A,LOCO-13,0,1.334308371616061,True,True
W-H0A,LOCO-13,1,0.03897665790477927,True,True
W-H1,LOCO-13,0,1.067641216071486,True,True
W-H1,LOCO-13,1,0.02874851221490402,True,True
W-H1,LOCO-13,2,1.2146378863613585,True,True
W-H1,LOCO-13,3,20.0,True,True
W-H2,LOCO-13,0,0.3622774905321116,True,True
W-H2,LOCO-13,1,0.3752048139690436,True,True
W-H2,LOCO-13,2,1.5235613951327007,True,True
W-H2,LOCO-13,3,20.0,True,True
W-H3,LOCO-13,0,1.1543150483572253,True,True
W-H3,LOCO-13,1,0.031208506470237277,True,True
W-H3,LOCO-13,2,0.8106917510020313,True,True
W-H3,LOCO-13,3,35.0,True,True
W-H3,LOCO-13,4,5.0,True,True
W-H5,LOCO-13,0,1.334308371616061,True,True
W-H5,LOCO-13,1,0.03897665790477927,True,True
