brew_id,condition_id,total_source_rows,rows_inside_analysis_window,rows_flow_above_threshold,rows_positive_derived_bed_pressure,rows_retained_for_apparent_resistance_fit,retained_fraction,condition_dependent
1-1,1,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
1-2,1,1000,800,780,800,156,0.195,DESCRIPTIVE_VARIATION_PRESENT
1-3,1,1000,800,783,800,156,0.195,DESCRIPTIVE_VARIATION_PRESENT
1-4,1,1000,800,772,800,154,0.1925,DESCRIPTIVE_VARIATION_PRESENT
1-5b,1,1000,800,751,800,149,0.18625,DESCRIPTIVE_VARIATION_PRESENT
10-2,11,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
10-3,11,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
10-4,11,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
10-5,11,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
12-8-2,13,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
12-8-3,13,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
12-8-4,13,1000,800,797,800,159,0.19875,DESCRIPTIVE_VARIATION_PRESENT
12-8-5,13,1000,800,799,800,159,0.19875,DESCRIPTIVE_VARIATION_PRESENT
12-8-6,13,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
12-8-7,13,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
2-2,2,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
2-3,2,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
2-4,2,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
2-5,2,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
3-5-3,3.5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
3-5-4,3.5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
3-5-5,3.5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-1,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-1b,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-2,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-2b,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-3,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-3b,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-4,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-4b,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-5,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
4-5b,4,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
5-1,5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
5-2,5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
5-3,5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
5-4,5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
5-5,5,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-1,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-2,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-3,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-4,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-5,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
6-6,6,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
7-1,7,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
7-2,7,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
7-3,7,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
7-4,7,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
8-1,8,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
8-1b,8,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
8-2,8,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
8-3,8,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
9-1,9,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
9-2,9,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
9-3,9,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
9-4,9,1000,800,800,800,160,0.2,DESCRIPTIVE_VARIATION_PRESENT
9-5,9,1000,800,793,800,159,0.19875,DESCRIPTIVE_VARIATION_PRESENT
