machine_cohort,evidence_tier,field,count,completeness_pct,valid_unit_pct,plausible_range_pct,usable_series_pct,median_sampling_interval_s,series_length_distribution,missingness_association,suitability,caveat
ALL,HYDRAULIC_OR_THERMAL,timeframe,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,achieved_pressure,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,pressure_goal,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,scale_mass_flow,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,machine_native_flow,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,flow_goal,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,beverage_weight_series,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,water_dispensed,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,basket_temperature,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,mix_temperature,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,temperature_goal,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,HYDRAULIC_OR_THERMAL,state_changes,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,dose,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,final_drink_weight,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,duration,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,grinder_model,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,grinder_setting,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,machine,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,roast_level_or_presence,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,profile_presence,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,tag_presence,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,SCALAR_CONTEXT,coffee_context,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,USER_OUTCOME,TDS,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,USER_OUTCOME,extraction_yield,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
ALL,USER_OUTCOME,sensory_fields,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,NOT_COMPUTABLE,none,local corpus absent
