case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
BASE-L24-S907-X,BASE-L24-S907,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,907,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L24-S1009-X,BASE-L24-S1009,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1009,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L24-S1103-X,BASE-L24-S1103,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1103,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L24-S1201-X,BASE-L24-S1201,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1201,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L24-S1301-X,BASE-L24-S1301,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1301,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L24-S1409-X,BASE-L24-S1409,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1409,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L24-S1511-X,BASE-L24-S1511,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1511,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L24-S1601-X,BASE-L24-S1601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L24-S1709-X,BASE-L24-S1709,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1709,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L24-S1801-X,BASE-L24-S1801,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1801,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L24-S1901-X,BASE-L24-S1901,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,1901,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L24-S2003-X,BASE-L24-S2003,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,2003,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L24-S2111-X,BASE-L24-S2111,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,2111,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L24-S2203-X,BASE-L24-S2203,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,2203,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L24-S2309-X,BASE-L24-S2309,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,2309,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L24-S2411-X,BASE-L24-S2411,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,2411,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L32-S907-X,BASE-L32-S907,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,907,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L32-S1009-X,BASE-L32-S1009,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,1009,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
