case_id,geometry_id,family,direction,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy
BASE-L128-S101-X,BASE-L128-S101,BASELINE,X,0.44994640350341797,0.449862003326416,0.449862003326416,0.449862003326416,0.14977645874023438,1.0,2.8284271247461903,6.4031242374328485,-142,0.6008900891575134,0.31558211045798545,0.2644168833374322,0.45648569508575015,0.9405913431130315
BASE-L128-S211-X,BASE-L128-S211,BASELINE,X,0.44938230514526367,0.4493231773376465,0.4493231773376465,0.4493231773376465,0.15236949920654297,1.0,2.8284271247461903,6.164414002968976,-154,0.5248157487050773,0.2821238356114653,0.24190978279644443,0.43184569602115624,0.9551746895001321
BASE-L128-S307-X,BASE-L128-S307,BASELINE,X,0.4499034881591797,0.4498109817504883,0.4498109817504883,0.4498109817504883,0.14986705780029297,1.0,2.8284271247461903,6.324555320336759,-186,0.5986146202816057,0.3168448522137861,0.2764943556922439,0.45752413253441915,0.9413885133983215
BASE-L128-S401-X,BASE-L128-S401,BASELINE,X,0.4489779472351074,0.44890403747558594,0.44890403747558594,0.44890403747558594,0.15471458435058594,1.0,2.8284271247461903,6.164414002968976,-169,0.4033860358239759,0.21223809277445763,0.2154265815706325,0.3944601582678877,0.9735002977326704
BASE-L128-S503-X,BASE-L128-S503,BASELINE,X,0.4484376907348633,0.44831371307373047,0.4483170509338379,0.44831275939941406,0.1467447280883789,1.0,3.0,7.0,-179,0.6312538090979087,0.34200598998782905,0.2664427074886132,0.477303684392249,0.9331859549141887
BASE-L128-S601-X,BASE-L128-S601,BASELINE,X,0.44937944412231445,0.44928836822509766,0.44928836822509766,0.44928836822509766,0.15358257293701172,1.0,2.8284271247461903,6.164414002968976,-172,0.5754050735245257,0.28651212679232274,0.2724376211996457,0.4368211421452225,0.951005522057569
BASE-L128-S701-X,BASE-L128-S701,BASELINE,X,0.44890356063842773,0.4488387107849121,0.4488387107849121,0.4488387107849121,0.15179729461669922,1.0,2.8284271247461903,6.324555320336759,-150,0.5534347870709525,0.2821658360170714,0.2614766373972789,0.43695476741295186,0.9537168104957399
BASE-L128-S809-X,BASE-L128-S809,BASELINE,X,0.4496603012084961,0.44957494735717773,0.44957494735717773,0.44957494735717773,0.15615081787109375,1.0,2.8284271247461903,6.324555320336759,-196,0.6688934917564207,0.3430874011076184,0.30370039650917013,0.4826072874572048,0.927675486862979
BASE-L160-S101-X,BASE-L160-S101,BASELINE,X,0.4496494140625,0.4495712890625,0.4495712890625,0.4495712890625,0.1528779296875,1.0,2.8284271247461903,6.324555320336759,-334,0.42205810887876544,0.19305803034960867,0.24382566699819186,0.3801405744117181,0.9745660826294579
BASE-L160-S211-X,BASE-L160-S211,BASELINE,X,0.449867919921875,0.4497880859375,0.44978857421875,0.4497880859375,0.151189453125,1.0,2.8284271247461903,6.4031242374328485,-332,0.4822246634290442,0.24351978768363675,0.2498364155439728,0.4321923473005139,0.9642066109874271
BASE-L160-S307-X,BASE-L160-S307,BASELINE,X,0.44991162109375,0.449840576171875,0.449840576171875,0.449840576171875,0.1510048828125,1.0,2.8284271247461903,6.324555320336759,-328,0.4647740504981579,0.24882392814948906,0.23181111213273425,0.4157678133129006,0.9652264352154856
BASE-L160-S401-X,BASE-L160-S401,BASELINE,X,0.44956201171875,0.449470703125,0.449470703125,0.44947119140625,0.1543232421875,1.0,2.8284271247461903,6.164414002968976,-372,0.4008440145085472,0.21290814600406666,0.21393865815019653,0.3866397610793135,0.9740271841155115
BASE-L160-S503-X,BASE-L160-S503,BASELINE,X,0.44988671875,0.44980322265625,0.44980322265625,0.44980322265625,0.15197265625,1.0,2.8284271247461903,6.164414002968976,-341,0.4533653592761203,0.24598979687883302,0.2164929752039917,0.3938685440422619,0.9654411459885525
BASE-L160-S601-X,BASE-L160-S601,BASELINE,X,0.44988720703125,0.449799072265625,0.449799072265625,0.449799072265625,0.1531591796875,1.0,2.8284271247461903,6.164414002968976,-360,0.3947143786217726,0.21048664234565728,0.21144333603092613,0.3823954868327482,0.9746310440840439
BASE-L160-S701-X,BASE-L160-S701,BASELINE,X,0.449888916015625,0.4498154296875,0.4498154296875,0.4498154296875,0.1512021484375,1.0,2.8284271247461903,6.324555320336759,-365,0.42004180301402144,0.22884647875809155,0.21635321357403092,0.39680510243412687,0.9703092549494715
