geometry_id,physical_lineage_id,family,L,voxel_um,seed,relation,frozen_relation,analysis_relation,parent_id,geometry_sha256,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L128-S101,LINEAGE-3f9ce113108f944b,BASELINE,128,30.0,101,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,9f96b24c54a5c15e00074d81b3843849ace8608973a999e61e7c98a2cd20a315,0.44994640350341797,0.449862003326416,0.449862003326416,0.449862003326416,0.550053596496582,0.14977645874023438,1.0,2.8284271247461903,6.4031242374328485,-142,0.55,0,8,0.0
BASE-L128-S211,LINEAGE-267cb8a22d1e7cba,BASELINE,128,30.0,211,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,489b63c3d8c04e95228faa3fe6abe5de8dde326f99c92738540babb78e95fd31,0.44938230514526367,0.4493231773376465,0.4493231773376465,0.4493231773376465,0.5506176948547363,0.15236949920654297,1.0,2.8284271247461903,6.164414002968976,-154,0.55,0,8,0.0
BASE-L128-S307,LINEAGE-86cf3d47b6668667,BASELINE,128,30.0,307,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,476d5ef356a4a4e29db64c055131443c4a6f193cc25b1b682814b3e574c53b17,0.4499034881591797,0.4498109817504883,0.4498109817504883,0.4498109817504883,0.5500965118408203,0.14986705780029297,1.0,2.8284271247461903,6.324555320336759,-186,0.55,0,8,0.0
BASE-L128-S401,LINEAGE-e69ccc2152ac0b8c,BASELINE,128,30.0,401,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,de115b72b80ff8501e38cca7bae6d97ade9befd14bd6a700056601c1c4a97e9f,0.4489779472351074,0.44890403747558594,0.44890403747558594,0.44890403747558594,0.5510220527648926,0.15471458435058594,1.0,2.8284271247461903,6.164414002968976,-169,0.55,0,8,0.0
BASE-L128-S503,LINEAGE-1712786b14684026,BASELINE,128,30.0,503,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,b24115214d440499929b951ac6a5c572b54296599e52de54b36e29bb84b85e1a,0.4484376907348633,0.44831371307373047,0.4483170509338379,0.44831275939941406,0.5515623092651367,0.1467447280883789,1.0,3.0,7.0,-179,0.55,0,8,0.0
BASE-L128-S601,LINEAGE-ffc270ed8f8e1cb8,BASELINE,128,30.0,601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,0933e55d6e332a59c10bb754cfce998bb1c2ea4e0acd1e9936e7942b6122fd58,0.44937944412231445,0.44928836822509766,0.44928836822509766,0.44928836822509766,0.5506205558776855,0.15358257293701172,1.0,2.8284271247461903,6.164414002968976,-172,0.55,0,8,0.0
BASE-L128-S701,LINEAGE-e2e83e432e1508a4,BASELINE,128,30.0,701,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,6ecd7d6e2cd95d235955cbccbe68b4465e1e0d805f740031d7e9111cda9c28a0,0.44890356063842773,0.4488387107849121,0.4488387107849121,0.4488387107849121,0.5510964393615723,0.15179729461669922,1.0,2.8284271247461903,6.324555320336759,-150,0.55,0,8,0.0
BASE-L128-S809,LINEAGE-d3a28ec26b9db061,BASELINE,128,30.0,809,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,299e5e96e47afe49a0303ea5a268fe0371bcc2e939c1fca4781ac19148817482,0.4496603012084961,0.44957494735717773,0.44957494735717773,0.44957494735717773,0.5503396987915039,0.15615081787109375,1.0,2.8284271247461903,6.324555320336759,-196,0.55,0,8,0.0
BASE-L160-S101,LINEAGE-264d3e2233328140,BASELINE,160,30.0,101,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,a53249d95694ccffc6fe320f7c6b84793ca959997c22e6cf4319964b35812432,0.4496494140625,0.4495712890625,0.4495712890625,0.4495712890625,0.5503505859375,0.1528779296875,1.0,2.8284271247461903,6.324555320336759,-334,0.55,0,8,0.0
BASE-L160-S211,LINEAGE-88a2433e47d76105,BASELINE,160,30.0,211,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,7bf54f106f134a199b064deeb82b77c61e589fb5d4306c9874fac51bd115194f,0.449867919921875,0.4497880859375,0.44978857421875,0.4497880859375,0.550132080078125,0.151189453125,1.0,2.8284271247461903,6.4031242374328485,-332,0.55,0,8,0.0
BASE-L160-S307,LINEAGE-eecfde2d0f34ec57,BASELINE,160,30.0,307,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,d82f4abfbe1c18aa698e7a7289c85c29ebcb5650ee1ab326149cfb5d756c56e3,0.44991162109375,0.449840576171875,0.449840576171875,0.449840576171875,0.55008837890625,0.1510048828125,1.0,2.8284271247461903,6.324555320336759,-328,0.55,0,8,0.0
BASE-L160-S401,LINEAGE-caf44c528f1cc17f,BASELINE,160,30.0,401,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,f2d3b910527cc68efa5326200d2d2db4099a4b0bc5ea572bc02b2c05cb51d546,0.44956201171875,0.449470703125,0.449470703125,0.44947119140625,0.55043798828125,0.1543232421875,1.0,2.8284271247461903,6.164414002968976,-372,0.55,0,8,0.0
BASE-L160-S503,LINEAGE-ed399fc218de8eed,BASELINE,160,30.0,503,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,482d26e05f2896d69502ffd158c622035858eb0e51d0c15f57853a5d1c14f785,0.44988671875,0.44980322265625,0.44980322265625,0.44980322265625,0.55011328125,0.15197265625,1.0,2.8284271247461903,6.164414002968976,-341,0.55,0,8,0.0
BASE-L160-S601,LINEAGE-399ce2b2720fbd50,BASELINE,160,30.0,601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,b385759cf207ac02d0d2a451a65d991a1bf46a33cbdf1d702010fc3f20e4ffd5,0.44988720703125,0.449799072265625,0.449799072265625,0.449799072265625,0.55011279296875,0.1531591796875,1.0,2.8284271247461903,6.164414002968976,-360,0.55,0,8,0.0
