case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction,physical_lineage_id
BASE-L128-S101-X,BASE-L128-S101,BASELINE,128,30.0,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,9f96b24c54a5c15e00074d81b3843849ace8608973a999e61e7c98a2cd20a315,1.5263592218565987,3.3923134177135474,6.541539522242568e-05,0.44994640350341797,0.449862003326416,0.449862003326416,0.449862003326416,0.550053596496582,0.14977645874023438,1.0,2.8284271247461903,6.4031242374328485,-142,0.6008900891575134,0.31558211045798545,0.2644168833374322,0.45648569508575015,0.9405913431130315,0.0022704530020297756,2400,9.4,0.55,0,8,0.0,LINEAGE-3f9ce113108f944b
BASE-L128-S211-X,BASE-L128-S211,BASELINE,128,30.0,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,489b63c3d8c04e95228faa3fe6abe5de8dde326f99c92738540babb78e95fd31,1.7279705409848376,3.8452126868374754,7.405588032792162e-05,0.44938230514526367,0.4493231773376465,0.4493231773376465,0.4493231773376465,0.5506176948547363,0.15236949920654297,1.0,2.8284271247461903,6.164414002968976,-154,0.5248157487050773,0.2821238356114653,0.24190978279644443,0.43184569602115624,0.9551746895001321,0.0021330065658042296,2000,8.0,0.55,0,8,0.0,LINEAGE-267cb8a22d1e7cba
BASE-L128-S307-X,BASE-L128-S307,BASELINE,128,30.0,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,476d5ef356a4a4e29db64c055131443c4a6f193cc25b1b682814b3e574c53b17,1.9587219330087002,4.3536491371137975,8.394522570037288e-05,0.4499034881591797,0.4498109817504883,0.4498109817504883,0.4498109817504883,0.5500965118408203,0.14986705780029297,1.0,2.8284271247461903,6.324555320336759,-186,0.5986146202816057,0.3168448522137861,0.2764943556922439,0.45752413253441915,0.9413885133983215,0.002812018601072186,1600,6.5,0.55,0,8,0.0,LINEAGE-86cf3d47b6668667
BASE-L128-S401-X,BASE-L128-S401,BASELINE,128,30.0,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,de115b72b80ff8501e38cca7bae6d97ade9befd14bd6a700056601c1c4a97e9f,1.446931125755788,3.22272203939251,6.201133396096236e-05,0.4489779472351074,0.44890403747558594,0.44890403747558594,0.44890403747558594,0.5510220527648926,0.15471458435058594,1.0,2.8284271247461903,6.164414002968976,-169,0.4033860358239759,0.21223809277445763,0.2154265815706325,0.3944601582678877,0.9735002977326704,0.00169382228155811,2200,8.7,0.55,0,8,0.0,LINEAGE-e69ccc2152ac0b8c
BASE-L128-S503-X,BASE-L128-S503,BASELINE,128,30.0,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,b24115214d440499929b951ac6a5c572b54296599e52de54b36e29bb84b85e1a,1.8001075150422114,4.014175329670308,7.71474649303805e-05,0.4484376907348633,0.44831371307373047,0.4483170509338379,0.44831275939941406,0.5515623092651367,0.1467447280883789,1.0,3.0,7.0,-179,0.6312538090979087,0.34200598998782905,0.2664427074886132,0.477303684392249,0.9331859549141887,0.002181304535182547,2000,7.9,0.55,0,8,0.0,LINEAGE-1712786b14684026
BASE-L128-S601-X,BASE-L128-S601,BASELINE,128,30.0,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,0933e55d6e332a59c10bb754cfce998bb1c2ea4e0acd1e9936e7942b6122fd58,1.7893117194044519,3.981739135618824,7.668478797447652e-05,0.44937944412231445,0.44928836822509766,0.44928836822509766,0.44928836822509766,0.5506205558776855,0.15358257293701172,1.0,2.8284271247461903,6.164414002968976,-172,0.5754050735245257,0.28651212679232274,0.2724376211996457,0.4368211421452225,0.951005522057569,0.0024637021445226654,2200,8.6,0.55,0,8,0.0,LINEAGE-ffc270ed8f8e1cb8
BASE-L128-S701-X,BASE-L128-S701,BASELINE,128,30.0,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,6ecd7d6e2cd95d235955cbccbe68b4465e1e0d805f740031d7e9111cda9c28a0,1.8227611009661038,4.060473698123011,7.811833289854732e-05,0.44890356063842773,0.4488387107849121,0.4488387107849121,0.4488387107849121,0.5510964393615723,0.15179729461669922,1.0,2.8284271247461903,6.324555320336759,-150,0.5534347870709525,0.2821658360170714,0.2614766373972789,0.43695476741295186,0.9537168104957399,0.0020353272300916115,3400,13.1,0.55,0,8,0.0,LINEAGE-e2e83e432e1508a4
BASE-L128-S809-X,BASE-L128-S809,BASELINE,128,30.0,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2,PASS,299e5e96e47afe49a0303ea5a268fe0371bcc2e939c1fca4781ac19148817482,1.668936409465333,3.711549374005088,7.152584611994286e-05,0.4496603012084961,0.44957494735717773,0.44957494735717773,0.44957494735717773,0.5503396987915039,0.15615081787109375,1.0,2.8284271247461903,6.324555320336759,-196,0.6688934917564207,0.3430874011076184,0.30370039650917013,0.4826072874572048,0.927675486862979,0.0020568489822034423,1800,7.1,0.55,0,8,0.0,LINEAGE-d3a28ec26b9db061
BASE-L160-S101-X,BASE-L160-S101,BASELINE,160,30.0,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,a53249d95694ccffc6fe320f7c6b84793ca959997c22e6cf4319964b35812432,1.586245887744107,3.5277392522602584,6.79819666176046e-05,0.4496494140625,0.4495712890625,0.4495712890625,0.4495712890625,0.5503505859375,0.1528779296875,1.0,2.8284271247461903,6.324555320336759,-334,0.42205810887876544,0.19305803034960867,0.24382566699819186,0.3801405744117181,0.9745660826294579,0.0023040766187431695,1800,15.5,0.55,0,8,0.0,LINEAGE-264d3e2233328140
BASE-L160-S211-X,BASE-L160-S211,BASELINE,160,30.0,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,7bf54f106f134a199b064deeb82b77c61e589fb5d4306c9874fac51bd115194f,1.6069654418848074,3.5720827619001514,6.88699475093489e-05,0.449867919921875,0.4497880859375,0.44978857421875,0.4497880859375,0.550132080078125,0.151189453125,1.0,2.8284271247461903,6.4031242374328485,-332,0.4822246634290442,0.24351978768363675,0.2498364155439728,0.4321923473005139,0.9642066109874271,0.0027233538619929457,2600,21.7,0.55,0,8,0.0,LINEAGE-88a2433e47d76105
BASE-L160-S307-X,BASE-L160-S307,BASELINE,160,30.0,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,d82f4abfbe1c18aa698e7a7289c85c29ebcb5650ee1ab326149cfb5d756c56e3,1.6725227629624564,3.717447348651494,7.167954698410528e-05,0.44991162109375,0.449840576171875,0.449840576171875,0.449840576171875,0.55008837890625,0.1510048828125,1.0,2.8284271247461903,6.324555320336759,-328,0.4647740504981579,0.24882392814948906,0.23181111213273425,0.4157678133129006,0.9652264352154856,0.0022209964250004106,2200,18.5,0.55,0,8,0.0,LINEAGE-eecfde2d0f34ec57
BASE-L160-S401-X,BASE-L160-S401,BASELINE,160,30.0,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1,PASS,f2d3b910527cc68efa5326200d2d2db4099a4b0bc5ea572bc02b2c05cb51d546,1.7539183876280664,3.901393671859742,7.516793089834572e-05,0.44956201171875,0.449470703125,0.449470703125,0.44947119140625,0.55043798828125,0.1543232421875,1.0,2.8284271247461903,6.164414002968976,-372,0.4008440145085472,0.21290814600406666,0.21393865815019653,0.3866397610793135,0.9740271841155115,0.002415126319010839,4200,35.4,0.55,0,8,0.0,LINEAGE-caf44c528f1cc17f
