case_id,geometry_id,status,direction,force,precision,steps,wall_seconds,Mach
BASE-L128-S101-X,BASE-L128-S101,PASS,X,1e-05,f32,2400,9.4,0.0022704530020297756
BASE-L128-S211-X,BASE-L128-S211,PASS,X,1e-05,f32,2000,8.0,0.0021330065658042296
BASE-L128-S307-X,BASE-L128-S307,PASS,X,1e-05,f32,1600,6.5,0.002812018601072186
BASE-L128-S401-X,BASE-L128-S401,PASS,X,1e-05,f32,2200,8.7,0.00169382228155811
BASE-L128-S503-X,BASE-L128-S503,PASS,X,1e-05,f32,2000,7.9,0.002181304535182547
BASE-L128-S601-X,BASE-L128-S601,PASS,X,1e-05,f32,2200,8.6,0.0024637021445226654
BASE-L128-S701-X,BASE-L128-S701,PASS,X,1e-05,f32,3400,13.1,0.0020353272300916115
BASE-L128-S809-X,BASE-L128-S809,PASS,X,1e-05,f32,1800,7.1,0.0020568489822034423
BASE-L160-S101-X,BASE-L160-S101,PASS,X,1e-05,f32,1800,15.5,0.0023040766187431695
BASE-L160-S211-X,BASE-L160-S211,PASS,X,1e-05,f32,2600,21.7,0.0027233538619929457
BASE-L160-S307-X,BASE-L160-S307,PASS,X,1e-05,f32,2200,18.5,0.0022209964250004106
BASE-L160-S401-X,BASE-L160-S401,PASS,X,1e-05,f32,4200,35.4,0.002415126319010839
BASE-L160-S503-X,BASE-L160-S503,PASS,X,1e-05,f32,2400,20.4,0.002362750841118862
BASE-L160-S601-X,BASE-L160-S601,PASS,X,1e-05,f32,3000,25.3,0.0022175365313901896
BASE-L160-S701-X,BASE-L160-S701,PASS,X,1e-05,f32,3400,28.6,0.002033964565541354
BASE-L160-S809-X,BASE-L160-S809,PASS,X,1e-05,f32,14400,119.4,0.0018387407894378286
BASE-L24-S1009-X,BASE-L24-S1009,PASS,X,1e-05,f32,9400,1.1,0.0005385904413864391
BASE-L24-S101-X,BASE-L24-S101,PASS,X,1e-05,f32,6200,2.5,0.0007016470770584064
BASE-L24-S1103-X,BASE-L24-S1103,PASS,X,1e-05,f32,4200,0.9,0.00032888366637031296
BASE-L24-S1201-X,BASE-L24-S1201,PASS,X,1e-05,f32,13400,1.2,0.00037757003950564927
BASE-L24-S1301-X,BASE-L24-S1301,PASS,X,1e-05,f32,38000,2.3,0.00026709898774243435
BASE-L24-S1409-X,BASE-L24-S1409,PASS,X,1e-05,f32,5800,0.9,0.0004108912255454243
BASE-L24-S1511-X,BASE-L24-S1511,NONCONVERGED,X,1e-05,f32,50000,2.8,0.00024149675296747443
BASE-L24-S1601-X,BASE-L24-S1601,PASS,X,1e-05,f32,3000,0.8,0.0003576642335374755
BASE-L24-S1709-X,BASE-L24-S1709,PASS,X,1e-05,f32,6000,0.9,0.0007724711032923687
