case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
BASE-L24-S101-X,BASE-L24-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S211-X,BASE-L24-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S307-X,BASE-L24-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S401-X,BASE-L24-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S503-X,BASE-L24-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S601-X,BASE-L24-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S701-X,BASE-L24-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L24-S809-X,BASE-L24-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",24,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S101-X,BASE-L32-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S211-X,BASE-L32-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S307-X,BASE-L32-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S401-X,BASE-L32-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S503-X,BASE-L32-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S601-X,BASE-L32-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S701-X,BASE-L32-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L32-S809-X,BASE-L32-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",32,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S101-X,BASE-L40-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S211-X,BASE-L40-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S307-X,BASE-L40-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S401-X,BASE-L40-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S503-X,BASE-L40-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S601-X,BASE-L40-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S701-X,BASE-L40-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L40-S809-X,BASE-L40-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S101-X,BASE-L56-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S211-X,BASE-L56-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S307-X,BASE-L56-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S401-X,BASE-L56-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S503-X,BASE-L56-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S601-X,BASE-L56-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S701-X,BASE-L56-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L56-S809-X,BASE-L56-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",56,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S101-X,BASE-L72-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S211-X,BASE-L72-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S307-X,BASE-L72-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S401-X,BASE-L72-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S503-X,BASE-L72-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S601-X,BASE-L72-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S701-X,BASE-L72-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
BASE-L72-S809-X,BASE-L72-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",72,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED
SF50-L40-S101-X,SF50-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S211-X,SF50-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S307-X,SF50-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S401-X,SF50-L40-S401,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,401,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S503-X,SF50-L40-S503,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,503,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S601-X,SF50-L40-S601,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,601,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S701-X,SF50-L40-S701,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,701,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF50-L40-S809-X,SF50-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.5}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S101-X,SF55-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S211-X,SF55-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S307-X,SF55-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S401-X,SF55-L40-S401,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,401,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S503-X,SF55-L40-S503,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,503,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S601-X,SF55-L40-S601,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,601,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S701-X,SF55-L40-S701,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,701,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF55-L40-S809-X,SF55-L40-S809,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.55}",40,30,809,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S101-X,SF60-L40-S101,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,101,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S211-X,SF60-L40-S211,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,211,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
SF60-L40-S307-X,SF60-L40-S307,SOLID_FRACTION,"{""amp"":0,""hlen"":8,""phis"":0.6}",40,30,307,RELATED_NON_NESTED,,X,1e-05,f32,SCORED
