run_id,family,geometry,backend,architecture,precision,g_lu,max_steps,mpi_ranks,fixture,target_q_m_s,porosity_role,status
CH33-NP-LOW,LBM,CH33,NUMPY_REFERENCE,CPU,float64,5e-7,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-NP-MID,LBM,CH33,NUMPY_REFERENCE,CPU,float64,1e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-NP-HIGH,LBM,CH33,NUMPY_REFERENCE,CPU,float64,2e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TC-LOW,LBM,CH33,TAICHI,CPU,float64,5e-7,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TC-MID,LBM,CH33,TAICHI,CPU,float64,1e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TC-HIGH,LBM,CH33,TAICHI,CPU,float64,2e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TG-LOW,LBM,CH33,TAICHI,CUDA,float64,5e-7,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TG-MID,LBM,CH33,TAICHI,CUDA,float64,1e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
CH33-TG-HIGH,LBM,CH33,TAICHI,CUDA,float64,2e-6,40000,0,CHANNEL,NA,NA,PROSPECTIVE
SP32-NP-MID,LBM,SP32,NUMPY_REFERENCE,CPU,float64,1e-6,30000,0,SPHERE,NA,NA,PROSPECTIVE
SP32-TC-MID,LBM,SP32,TAICHI,CPU,float64,1e-6,30000,0,SPHERE,NA,NA,PROSPECTIVE
SP32-TG-MID,LBM,SP32,TAICHI,CUDA,float64,1e-6,30000,0,SPHERE,NA,NA,PROSPECTIVE
M0A-NP-MID,LBM,M0A,NUMPY_REFERENCE,CPU,float64,1e-6,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TC-LOW,LBM,M0A,TAICHI,CPU,float64,5e-7,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TC-MID,LBM,M0A,TAICHI,CPU,float64,1e-6,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TC-HIGH,LBM,M0A,TAICHI,CPU,float64,2e-6,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TG-LOW,LBM,M0A,TAICHI,CUDA,float64,5e-7,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TG-MID,LBM,M0A,TAICHI,CUDA,float64,1e-6,50000,0,M0_PACK,NA,NA,PROSPECTIVE
M0A-TG-HIGH,LBM,M0A,TAICHI,CUDA,float64,2e-6,50000,0,M0_PACK,NA,NA,PROSPECTIVE
OF-U-LOW,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,UNIFORM,2.5e-4,PHI_M0A,PROSPECTIVE
OF-U-MID,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,UNIFORM,5e-4,PHI_M0A,PROSPECTIVE
OF-U-HIGH,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,UNIFORM,1e-3,PHI_M0A,PROSPECTIVE
OF-U-PHI-ALT,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,UNIFORM,5e-4,0.30,PROSPECTIVE
OF-SERIES-1,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,AXIAL_TWO_LAYER,5e-4,PHI_M0A,PROSPECTIVE
OF-SERIES-16,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,16,AXIAL_TWO_LAYER,5e-4,PHI_M0A,PROSPECTIVE
OF-PARALLEL-1,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,1,RADIAL_TWO_ZONE,5e-4,PHI_M0A,PROSPECTIVE
OF-PARALLEL-16,OPENFOAM,M0A,ESPRESSO_WHOLE_PULL_FOAM,CPU,float64,NA,NA,16,RADIAL_TWO_ZONE,5e-4,PHI_M0A,PROSPECTIVE
