row_class,run_id,family,backend_or_ranks,fixture_revision,disposition,primary_value,primary_unit
GOVERNED_RUN,CH33-NP-HIGH,LBM,CPU_NUMPY,1,PASS,75.26883106917856,lu2
GOVERNED_RUN,CH33-NP-LOW,LBM,CPU_NUMPY,1,PASS,75.26883106759912,lu2
GOVERNED_RUN,CH33-NP-MID,LBM,CPU_NUMPY,1,PASS,75.26883107073785,lu2
GOVERNED_RUN,CH33-TC-HIGH,LBM,Arch.x64,1,PASS,75.26883132880573,lu2
GOVERNED_RUN,CH33-TC-LOW,LBM,Arch.x64,1,PASS,75.2688313272452,lu2
GOVERNED_RUN,CH33-TC-MID,LBM,Arch.x64,1,PASS,75.2688313303704,lu2
GOVERNED_RUN,CH33-TG-HIGH,LBM,Arch.cuda,1,PASS,75.26883132881514,lu2
GOVERNED_RUN,CH33-TG-LOW,LBM,Arch.cuda,1,PASS,75.26883132705083,lu2
GOVERNED_RUN,CH33-TG-MID,LBM,Arch.cuda,1,PASS,75.26883133041859,lu2
GOVERNED_RUN,M0A-NP-MID,LBM,CPU_NUMPY,1,PASS,1.791990460299381,lu2
GOVERNED_RUN,M0A-TC-HIGH,LBM,Arch.x64,1,PASS,1.7919988386135917,lu2
GOVERNED_RUN,M0A-TC-LOW,LBM,Arch.x64,1,PASS,1.791993559345861,lu2
GOVERNED_RUN,M0A-TC-MID,LBM,Arch.x64,1,PASS,1.7919953212729407,lu2
GOVERNED_RUN,M0A-TG-HIGH,LBM,Arch.cuda,1,PASS,1.7919988386136054,lu2
GOVERNED_RUN,M0A-TG-LOW,LBM,Arch.cuda,1,PASS,1.7919935593460363,lu2
GOVERNED_RUN,M0A-TG-MID,LBM,Arch.cuda,1,PASS,1.791995321273032,lu2
GOVERNED_RUN,SP32-NP-MID,LBM,CPU_NUMPY,1,PASS,63.14242322720799,lu2
GOVERNED_RUN,SP32-TC-MID,LBM,Arch.x64,1,PASS,63.14242340197528,lu2
GOVERNED_RUN,SP32-TG-MID,LBM,Arch.cuda,1,PASS,63.14242340197547,lu2
GOVERNED_RUN,OF-PARALLEL-1,OPENFOAM,1,2,PASS,7.200000000370729e-10,m3/s
GOVERNED_RUN,OF-PARALLEL-16,OPENFOAM,16,2,PASS,7.200000000362078e-10,m3/s
GOVERNED_RUN,OF-SERIES-1,OPENFOAM,1,1,PASS,7.220722737566488e-10,m3/s
GOVERNED_RUN,OF-SERIES-16,OPENFOAM,16,1,PASS,7.220722737580906e-10,m3/s
GOVERNED_RUN,OF-U-HIGH,OPENFOAM,1,1,PASS,1.44e-09,m3/s
GOVERNED_RUN,OF-U-LOW,OPENFOAM,1,1,PASS,3.6e-10,m3/s
GOVERNED_RUN,OF-U-MID,OPENFOAM,1,1,PASS,7.2e-10,m3/s
GOVERNED_RUN,OF-U-PHI-ALT,OPENFOAM,1,1,PASS,7.2e-10,m3/s
PROTOCOL_INVALID_ATTEMPT,OF-PARALLEL-1-REVISION-1,OPENFOAM_ATTEMPT,1,1,PROTOCOL_INVALID_PRE_SOLVE_MESH_INTERFACE_MISALIGNMENT,,
ANALYTICAL_REFERENCE,CH33-K-GROSS-EXACT,ANALYTICAL,,1,REFERENCE,75.229797979798,lu2
ANALYTICAL_REFERENCE,RADIAL-Q-EXACT,ANALYTICAL,,2,REFERENCE,7.200000000000001e-10,m3/s
