run_order,run_id,family,geometry_id,seed,hetero_amp,coating_fraction,direction,axis_permutation,force_lu,force_level,planned_backend,precision,status
1,H-A0-S42-X-MID,HETEROGENEITY,H-A0-S42,42,0.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
2,H-A0-S1729-X-MID,HETEROGENEITY,H-A0-S1729,1729,0.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
3,H-A0-S20260805-X-MID,HETEROGENEITY,H-A0-S20260805,20260805,0.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
4,H-A1-S42-X-MID,HETEROGENEITY,H-A1-S42,42,1.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
5,H-A1-S1729-X-MID,HETEROGENEITY,H-A1-S1729,1729,1.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
6,H-A1-S20260805-X-MID,HETEROGENEITY,H-A1-S20260805,20260805,1.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
7,H-A2-S42-X-MID,HETEROGENEITY,H-A2-S42,42,2.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
8,H-A2-S1729-X-MID,HETEROGENEITY,H-A2-S1729,1729,2.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
9,H-A2-S20260805-X-MID,HETEROGENEITY,H-A2-S20260805,20260805,2.0,,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
10,C05-X-MID,COATING,C05,42,,0.05,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
11,C15-X-MID,COATING,C15,42,,0.15,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
12,C30-X-MID,COATING,C30,42,,0.30,X,"0;1;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
13,H-A0-S42-Y-MID,ANISOTROPY,H-A0-S42,42,0.0,,Y,"1;0;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
14,H-A0-S42-Z-MID,ANISOTROPY,H-A0-S42,42,0.0,,Z,"2;1;0",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
15,H-A2-S42-Y-MID,ANISOTROPY,H-A2-S42,42,2.0,,Y,"1;0;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
16,H-A2-S42-Z-MID,ANISOTROPY,H-A2-S42,42,2.0,,Z,"2;1;0",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
17,C30-Y-MID,ANISOTROPY,C30,42,,0.30,Y,"1;0;2",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
18,C30-Z-MID,ANISOTROPY,C30,42,,0.30,Z,"2;1;0",1e-6,MID,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
19,H-A2-S42-X-LOW,LINEARITY,H-A2-S42,42,2.0,,X,"0;1;2",5e-7,LOW,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
20,H-A2-S42-X-HIGH,LINEARITY,H-A2-S42,42,2.0,,X,"0;1;2",2e-6,HIGH,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
21,C30-X-LOW,LINEARITY,C30,42,,0.30,X,"0;1;2",5e-7,LOW,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
22,C30-X-HIGH,LINEARITY,C30,42,,0.30,X,"0;1;2",2e-6,HIGH,taichi_cuda,float64,PROSPECTIVE_NOT_EXECUTED
