run_id,phi_gross,phi_connected,K_over_K0,sigma_micro,coefficient_of_variation,fastest_quartile_flow_share,g_lu,q_box_lu
H-A0-S42-X-MID,0.412359375,0.41234375,1.0,3.5899279416976655,1.2572371352266647,0.713910024636042,1e-06,7.679979948312985e-06
H-A0-S1729-X-MID,0.4290625,0.428984375,1.1279632243340678,1.971925891181817,1.0448576302926587,0.5989308162164756,1e-06,8.662734945320101e-06
H-A0-S20260805-X-MID,0.43709374999999995,0.437078125,1.0562499317419833,1.8374401871698511,1.346315622174455,0.7167823391234691,1e-06,8.11197829618539e-06
H-A1-S42-X-MID,0.4390625,0.4390625,0.527830740702441,2.3613145417568013,1.0004456240391344,0.6335435869675246,1e-06,4.053729504697937e-06
H-A1-S1729-X-MID,0.42325,0.423234375,2.3589391079043005,2.8983629451966704,1.3910454408890756,0.7587241205267254,1e-06,1.8116605047996352e-05
H-A1-S20260805-X-MID,0.440734375,0.440671875,1.3937612653351272,2.638555133893688,1.168138958511203,0.6911875470582156,1e-06,1.070405857050911e-05
H-A2-S42-X-MID,0.407765625,0.40775,0.6677175654521914,3.6110716776788334,1.0306461775288265,0.6350296006035372,1e-06,5.128057513809193e-06
H-A2-S1729-X-MID,0.40740624999999997,0.40734375,1.0424944659203814,2.054258908260508,1.2461819477636014,0.7157223423194468,1e-06,8.006336594495783e-06
H-A2-S20260805-X-MID,0.43067187500000004,0.430671875,1.119017147523303,2.347153720701531,1.0087429972075292,0.6310943736912242,1e-06,8.594029254797362e-06
C05-X-MID,0.39173437499999997,0.391484375,0.7786665070783807,3.6089434292304228,1.3282430915111436,0.7345057649172981,1e-06,5.980143160784875e-06
C15-X-MID,0.35050000000000003,0.349375,0.6134242895892027,3.6604583615106123,1.4059435770330915,0.7597381191774102,1e-06,4.7110862438532144e-06
C30-X-MID,0.28865624999999995,0.2883125,0.424082396862255,3.756384914770095,1.514265203898153,0.79979033130476,1e-06,3.256944304334628e-06
H-A0-S42-Y-MID,0.412359375,0.41234375,0.39756153333759553,2.1253553648192907,0.931300286927447,0.5819144260759093,1e-06,3.0532646042532984e-06
H-A0-S42-Z-MID,0.412359375,0.41234375,0.3259073907854725,0.761302191008446,0.6480354334613502,0.46637157707579635,1e-06,2.502962226239433e-06
H-A2-S42-Y-MID,0.407765625,0.40775,0.5042462579836654,1.9150745769711648,1.4450205384787678,0.7317583233085427,1e-06,3.872601150326407e-06
H-A2-S42-Z-MID,0.407765625,0.40775,0.6262996456286557,1.6605251841768986,1.0113798307676443,0.6054754779397602,1e-06,4.809968720063604e-06
C30-Y-MID,0.28865624999999995,0.2883125,0.07001108894816223,2.7329675205830966,1.1236379482433254,0.675369546695659,1e-06,5.376837592814428e-07
C30-Z-MID,0.28865624999999995,0.2883125,0.06314353278143865,0.9213428280367185,0.7195668132022031,0.4788344758464992,1e-06,4.849410656270925e-07
H-A2-S42-X-LOW,0.407765625,0.40775,0.6677175294610922,,,,5e-07,2.564028618699137e-06
H-A2-S42-X-HIGH,0.407765625,0.40775,0.6677176367387229,,,,2e-06,1.025611612257665e-05
C30-X-LOW,0.28865624999999995,0.2883125,0.42408160098742587,,,,5e-07,1.6284690960159495e-06
C30-X-HIGH,0.28865624999999995,0.2883125,0.4240839882759971,,,,2e-06,6.513913052720513e-06
