sample_id,coffee,G,published_k_m2,synthetic_prediction_k_m2,log_residual,multiplicative_error,prediction_95_low_m2,prediction_95_high_m2,covered_95,inside_synthetic_shared_feature_box,standardized_nearest_synthetic_distance
GUAYACAN-G01,Guayacan,1,2.389999999999996e-11,8.327274526402052e-16,-10.264682615979307,28700.867161547012,3.2457688561970103e-16,2.1364275803457135e-15,False,False,40.55431820996187
GUAYACAN-G03,Guayacan,3,7.380000000000012e-11,1.1356633855680993e-13,-6.476726863732672,649.840445134037,4.426539363285336e-14,2.913633471820684e-13,False,False,26.40570525643298
GUAYACAN-G04,Guayacan,4,1.549999999999999e-10,3.840075934724885e-12,-3.6979329758471877,40.36378515288515,1.4967681003963431e-12,9.852015940577851e-12,False,False,15.008486999285036
GUAYACAN-G05,Guayacan,5,5.84e-11,1.403176985774274e-13,-6.031162041571051,416.19838831503375,5.4692422421268956e-14,3.5999605909591295e-13,False,False,22.337217176062314
GUAYACAN-G06,Guayacan,6,1.2499999999999983e-10,7.004313277194998e-14,-7.486957781541111,1784.6146374831812,2.730110772988955e-14,1.7970114974997246e-13,False,False,32.82252052657824
GUAYACAN-G07,Guayacan,7,4.8699999999999984e-11,1.0265047589252072e-14,-8.464689622541162,4744.254673596535,4.001065614798483e-15,2.6335784551965382e-14,False,False,34.48192169932081
GUAYACAN-G08,Guayacan,8,4.629999999999999e-11,1.6669231357454662e-15,-10.23191774669959,27775.72583110986,6.497260517259031e-16,4.276622021084829e-15,False,False,40.084086169112375
GUAYACAN-G09,Guayacan,9,4.9399999999999966e-11,2.382383630313724e-15,-9.939604191342625,20735.5353568706,9.28595132329196e-16,6.1121920246882036e-15,False,False,38.4328975686642
GUAYACAN-G10,Guayacan,10,3.909999999999996e-11,3.55917587513169e-16,-11.606933816652365,109856.89207772924,1.3872800965793956e-16,9.131344810146237e-16,False,False,45.17471978526943
GUAYACAN-G11,Guayacan,11,1.5799999999999984e-11,1.2519427975877e-18,-16.35082391519077,12620384.917301446,4.879768199387116e-19,3.2119574217246063e-18,False,False,60.92756216546436
TUMBA-G01,Tumba,1,6.009999999999999e-11,2.442878329725166e-13,-5.505417947132607,246.02125807371456,9.521744932223809e-14,6.267395919885315e-13,False,False,22.962857865702333
TUMBA-G02,Tumba,2,5.7800000000000003e-11,1.1504768380641424e-14,-8.521982463436512,5024.003794570743,4.4842785943050015e-15,2.951638545836613e-14,False,False,33.13282604743241
TUMBA-G03,Tumba,3,9.93000000000001e-11,2.883033135027237e-13,-5.841887752209296,344.42892380791864,1.1237361193493137e-13,7.39664758882884e-13,False,False,23.437525632397282
TUMBA-G04,Tumba,4,1.039999999999999e-10,2.83127668586514e-13,-5.906248256459499,367.3254561068132,1.1035627156426075e-13,7.263862359880179e-13,False,False,24.27023172838111
TUMBA-G05,Tumba,5,1.5099999999999974e-10,2.233047744056494e-12,-4.213912483058518,67.62058733491172,8.703876399270304e-13,5.729059097913942e-12,False,False,17.351556058649706
TUMBA-G06,Tumba,6,1.9099999999999986e-10,1.4437663852390595e-12,-4.8850181837397315,132.2928708915563,5.627449838450086e-13,3.70409587821464e-12,False,False,18.977315327675573
TUMBA-G07,Tumba,7,9.060000000000002e-11,2.921425901013961e-13,-5.7369674866882505,310.1225328650465,1.1387006847359686e-13,7.495147240641371e-13,False,False,25.08644051194719
TUMBA-G08,Tumba,8,3.489999999999999e-11,3.3954668224930207e-15,-9.23780085368907,10278.409957890768,1.3234702938825587e-15,8.711336397909298e-15,False,False,37.384578466699054
TUMBA-G09,Tumba,9,3.399999999999995e-11,4.563606588525415e-16,-11.218587667141016,74502.47811782997,1.778782732574477e-16,1.1708290570535194e-15,False,False,43.254040198265734
TUMBA-G10,Tumba,10,2.5399999999999998e-11,1.0681990943151766e-16,-12.379115404938222,237783.38827635834,4.163579982325967e-17,2.740548542214676e-16,False,False,47.55378295166424
TUMBA-G11,Tumba,11,3.0900000000000037e-11,6.729122864797344e-17,-13.037236845836471,459198.0354772527,2.6228482506291645e-17,1.7264092392183371e-16,False,False,50.324633259601214
