sample_id,source_id,coffee,grind_setting,route,primary_transfer_included,exclusion_reason,related_group,raw_volume_available,gpu_execution
GUAYACAN-G01,WADSWORTH_2026_RS0S_252031,Guayacan,1,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G02,WADSWORTH_2026_RS0S_252031,Guayacan,2,PROCESSED_DATA,false,MISSING_SOURCE_HYDRAULIC_FIELDS,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G03,WADSWORTH_2026_RS0S_252031,Guayacan,3,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G04,WADSWORTH_2026_RS0S_252031,Guayacan,4,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G05,WADSWORTH_2026_RS0S_252031,Guayacan,5,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G06,WADSWORTH_2026_RS0S_252031,Guayacan,6,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G07,WADSWORTH_2026_RS0S_252031,Guayacan,7,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G08,WADSWORTH_2026_RS0S_252031,Guayacan,8,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G09,WADSWORTH_2026_RS0S_252031,Guayacan,9,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G10,WADSWORTH_2026_RS0S_252031,Guayacan,10,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
GUAYACAN-G11,WADSWORTH_2026_RS0S_252031,Guayacan,11,PROCESSED_DATA,true,,Guayacan,false,NOT_APPLICABLE
TUMBA-G01,WADSWORTH_2026_RS0S_252031,Tumba,1,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G02,WADSWORTH_2026_RS0S_252031,Tumba,2,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G03,WADSWORTH_2026_RS0S_252031,Tumba,3,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G04,WADSWORTH_2026_RS0S_252031,Tumba,4,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G05,WADSWORTH_2026_RS0S_252031,Tumba,5,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G06,WADSWORTH_2026_RS0S_252031,Tumba,6,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G07,WADSWORTH_2026_RS0S_252031,Tumba,7,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G08,WADSWORTH_2026_RS0S_252031,Tumba,8,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G09,WADSWORTH_2026_RS0S_252031,Tumba,9,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G10,WADSWORTH_2026_RS0S_252031,Tumba,10,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
TUMBA-G11,WADSWORTH_2026_RS0S_252031,Tumba,11,PROCESSED_DATA,true,,Tumba,false,NOT_APPLICABLE
