sample_id,coffee,G,status,published_k_m2,published_k_uncertainty_m2,kozeny_carman_k_m2,percolation_measured_surface_k_m2,angular_surface_recalculated_per_m,published_connected_surface_per_m,percolation_angular_surface_k_m2,kc_log_error,percolation_log_error,percolation_angular_log_error
GUAYACAN-G01,Guayacan,1,PASS,2.39e-11,2.6e-12,1.9507473023437223e-11,3.6274006267567525e-11,20421.907998138555,33588.43,9.812559469475399e-11,-0.20308083481124006,0.41722294504177115,1.4123697777302224
GUAYACAN-G02,Guayacan,2,MISSING_SOURCE_HYDRAULIC_FIELDS,,,,,,,,,,
GUAYACAN-G03,Guayacan,3,PASS,7.38e-11,7.99e-12,4.132931774607347e-11,7.817131797806393e-11,22229.538851180812,24439.88,9.448974257834811e-11,-0.5797866106936677,0.05754407089130061,0.2471325528574638
GUAYACAN-G04,Guayacan,4,PASS,1.55e-10,9.36e-11,6.841949897947072e-11,1.2520442934088755e-10,26401.53052618313,17105.0,5.25542257049653e-11,-0.8177672601169922,-0.21347728075693453,-1.081579609794697
GUAYACAN-G05,Guayacan,5,PASS,5.84e-11,2.1e-11,2.1210814005757618e-11,3.32695317078816e-11,35767.744552710035,21916.45,1.2491195211030971e-11,-1.0128047435990377,-0.5626738754098722,-1.5422918768377927
GUAYACAN-G06,Guayacan,6,PASS,1.25e-10,1.41e-11,7.628579493202811e-11,1.432467808199719e-10,21274.080062785455,28288.25,2.5327682603030877e-10,-0.4938269902365612,0.13625514557910906,0.7061693272859495
GUAYACAN-G07,Guayacan,7,PASS,4.87e-11,1.6e-12,3.416983516260573e-11,6.606809424904831e-11,35248.50817185815,29619.7,4.665214412572228e-11,-0.35433578801144205,0.305006911115391,-0.04296014188523037
GUAYACAN-G08,Guayacan,8,PASS,4.63e-11,1.01e-12,2.8202485721041168e-11,5.470468851127533e-11,42405.00076201862,33231.1,3.359540132406077e-11,-0.49573184089655126,0.16680745784860257,-0.32075276884528153
GUAYACAN-G09,Guayacan,9,PASS,4.94e-11,3.43e-12,2.6614077818674156e-11,5.103101788766358e-11,51290.40141044025,32187.77,2.0097582212199777e-11,-0.618510107101469,0.03248321753126617,-0.8993509043142822
GUAYACAN-G10,Guayacan,10,PASS,3.91e-11,4.22e-12,2.5776866169327856e-11,5.031467020273779e-11,61259.67158442935,36498.73,1.786079592063542e-11,-0.4166450374074569,0.25217422172155135,-0.7835143281106561
GUAYACAN-G11,Guayacan,11,PASS,1.58e-11,1.05e-13,1.251057609925247e-11,2.3958710278475635e-11,90872.84380018203,46688.25,6.324269796637459e-12,-0.2334355655151025,0.41632200365517696,-0.9156153592558182
TUMBA-G01,Tumba,1,PASS,6.01e-11,9.05e-12,3.820272088745241e-11,6.92049058445724e-11,21403.82711075332,22265.34,7.488807655747253e-11,-0.4531031010449646,0.14106191227731538,0.2199848448206836
TUMBA-G02,Tumba,2,PASS,5.78e-11,3.69e-12,2.917801958795428e-11,5.503130171093416e-11,20047.238099946528,28789.66,1.1349422424091811e-10,-0.6835731037027074,-0.04908663031739129,0.6747631722030855
TUMBA-G03,Tumba,3,PASS,9.93e-11,5.46e-12,4.658709292547921e-11,8.758311384288189e-11,21607.53589725745,22528.85,9.521117879612583e-11,-0.7568220441325068,-0.12555735604087992,-0.042048211818451246
TUMBA-G04,Tumba,4,PASS,1.04e-10,2.09e-11,5.261155060717436e-11,1.0100728672805003e-10,22511.606760788676,23026.25,1.0567838039674415e-10,-0.6814552102124982,-0.02919823908022042,0.016009435413474736
TUMBA-G05,Tumba,5,PASS,1.51e-10,1.27e-11,6.827821886023688e-11,1.2830496646695203e-10,27901.11334264594,18580.9,5.6902833505911636e-11,-0.7936890250485374,-0.1628698561455623,-0.9759346989275859
TUMBA-G06,Tumba,6,PASS,1.91e-10,7.96e-11,6.578952169912357e-11,1.248547775481355e-10,31112.971113120064,19616.52,4.9632496938123544e-11,-1.0658128470903117,-0.42512214574833446,-1.3476276286484927
TUMBA-G07,Tumba,7,PASS,9.06e-11,1.44e-12,6.04838086757879e-11,1.17884486650584e-10,32704.595899169984,23500.01,6.086605808703807e-11,-0.404078509023739,0.2632510052651019,-0.39777853217618214
TUMBA-G08,Tumba,8,PASS,3.49e-11,1.04e-12,2.78182388121457e-11,5.335017073557617e-11,40753.15269230516,31510.84,3.189578911830408e-11,-0.22679495125384666,0.424390348826222,-0.0900128306916879
TUMBA-G09,Tumba,9,PASS,3.4e-11,3.44e-12,2.1616120864343322e-11,4.1338368032703036e-11,50875.97120000521,35301.57,1.9902880848115257e-11,-0.45292115198430005,0.19543055214568136,-0.5354960371263876
TUMBA-G10,Tumba,10,PASS,2.54e-11,1.55e-12,1.844113246398843e-11,3.523514282696482e-11,62090.091997010895,38074.56,1.3249552673604998e-11,-0.3201655443333753,0.32729478629998493,-0.6507853826447993
TUMBA-G11,Tumba,11,PASS,3.09e-11,2.09e-12,2.245368140608778e-11,4.3897233511889145e-11,67893.01521974687,39815.76,1.509721978221599e-11,-0.31930160070529057,0.3510951162393,-0.7162455774181067
